# Start logging at 2023-07-27 09:10:32 CDT
[09:10:32] connected
[09:16:00]  moribund: FeelsBeardMan
[09:32:30]  nerdbusta1: Kreygasm
[09:33:34]  dr0gulus: holy shit
[09:33:59]  dr0gulus: i'm getting 3 minute long preroll ads PogChamp
[09:34:17]  captainfalcum: Dr zero
[09:34:24]  skippygoober: ads pogbon
[09:35:13]  nerdbusta1: I didn’t get an ad and I’m on mobile sadge
[09:35:19]  skippygoober: the current ad policy on twitch is your are forced to run ads right?
[09:36:11]  dr0gulus: PogChamp i'm here
[09:36:22]  truesque: I am also here :D
[09:36:27]  dr0gulus: PogChamp
[09:36:42]  dr0gulus: that makes sense
[09:37:14]  skippygoober: so he got hit with the scheduled ad during his initial visit to your stream
[09:37:18]  skippygoober: unlucky
[09:37:19]  dr0gulus: do they run ads if you aren't affiliate?
[09:37:19]  truesque: I’m a repair clicker
[09:37:32]  truesque: I just click three of them
[09:37:37]  truesque: Sometimes c:
[09:37:53]  shmooooz: ´the man, the beard, the legend
[09:37:58]  truesque: Every time I’ve taken three self repairs and then lost one to falling I’ve deeply missed it
[09:38:00]  dr0gulus: the champ knocked me down last night
[09:38:02]  truesque: Which is twice
[09:38:04]  dr0gulus: but i got up again this morning
[09:38:06]  shmooooz: how you been doing?
[09:38:06]  nerdbusta1: but repair is only 6 health saved Kappa
[09:38:06]  dr0gulus: MAOSA
[09:38:12]  truesque: MAOSA
[09:38:46]  99percentsneaky: NODDERS we here now
[09:39:12]  captainfalcum: old school
[09:39:16]  truesque: Big time tommy
[09:39:22]  truesque: Make America old school again
[09:39:27]  shmooooz: last ´time i saw you was couple of months ago and you were on a job hunt spree
[09:39:33]  dr0gulus: it was a win i just hard threw
[09:40:10]  skippygoober: since this is a small enough channel I can spill the beans on the twitch turbo focus group I was NDA'd and paid to be a part of?
[09:40:18]  shmooooz: éasy, make an i sex girlfriend
[09:40:39]  dr0gulus: i had lethal on the execute turn if i duped skewer before he cleansed vulnerable. but i didn't think and said "i can always potion next turn :D "
[09:40:44]  surrealistic_ganerson: What are you programming, if it's not a secret?
[09:41:06]  dr0gulus: its from xecnar
[09:41:09]  dr0gulus: no
[09:41:15]  dr0gulus: you can ALWAYS potion next turn
[09:41:28]  truesque: You can always potion next fight
[09:41:31]  skippygoober: Sadge
[09:41:48]  captainnoobzor: hello redbird
[09:41:52]  captainnoobzor: and chat
[09:42:17]  shmooooz: have another billion dollar programming idea... make a translator that tells you what the fuck your toddlers and little kids want from you
[09:43:12]  shmooooz: nice, but please solve my problems first, thank you sir
[09:43:30]  surrealistic_ganerson: Interesting
[09:44:35]  shmooooz: or at least play silent like a degenerate :D
[09:44:35]  skippygoober: wait
[09:44:38]  skippygoober: check the vod
[09:44:44]  skippygoober: what was that rogue strike
[09:45:39]  skippygoober: I like Defect because I can play a lot of cards and feel like I am big brain'd all the way up until I suddenly die
[09:46:04]  skippygoober: LUL
[09:47:47]  skippygoober: drawing cards makes me feel good
[09:48:12]  dr0gulus: @Redbeardy_McGee https://youtube.com/shorts/PegBGAvKc84?feature=share
[09:48:33]  dr0gulus: MAOSA
[09:49:17]  skippygoober: @dr0gulus you can turn a short into a normal YT video by messing with the URL
[09:49:20]  skippygoober: https://www.youtube.com/watch?v=PegBGAvKc84
[09:49:31]  dr0gulus: holy
[09:49:45]  dr0gulus: AGAIN
[09:50:42]  99percentsneaky: EZ s-tier defect relic
[09:52:19]  dr0gulus: that was easy
[09:52:47]  dr0gulus: monkaS
[09:52:52]  dr0gulus: phew
[09:52:56]  truesque: It could hit you
[09:53:15]  surrealistic_ganerson: @Redbeardy_McGee what do you do if someone pisses you off?
[09:53:16]  clerkyturkey: it's the beardy
[09:53:31]  dr0gulus: i asked a lightning orb to walk my dog while i was at work and it forgot
[09:53:36]  cervantes1988: he's still alive Pogamid
[09:54:14]  cervantes1988: how you doing beardy
[09:54:22]  stupidketchup: howdy. good luck
[09:54:23]  cervantes1988: you still got the beard i hope
[09:54:41]  clerkyturkey: !pronouns
[09:54:41]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[09:54:48]  cervantes1988: good, good
[09:54:57]  stupidketchup: just at the gym. hope the run is going well
[09:56:06]  stupidketchup: pronouns : he him
[09:56:26]  stupidketchup: lol the frowny not intentional
[10:02:26]  truesque: Kill
[10:02:28]  badterence: back in business
[10:02:38]  badterence: how's the run going
[10:02:48]  badterence: your stream all set up now? did you move or smth?
[10:03:12]  badterence: ah oki doki
[10:03:32]  badterence: yeah good good haha
[10:03:38]  badterence: yeah exactly
[10:03:47]  badterence: i had entirely platinum blond hair and then it went yellow and then i got it cut twice
[10:03:50]  stupidketchup: ooo what color did you die it?
[10:04:48]  stupidketchup: ooo plat blond sounds rad
[10:05:20]  badterence: :)
[10:08:52]  99percentsneaky: peepoPls
[10:10:09]  stupidketchup: gg
[10:10:37]  stupidketchup: stupid143Pride stupid143Pride stupid143Pride
[10:12:37]  stupidketchup: three strikes, you're out!
[10:12:52]  99percentsneaky: I was thinking cage would be nice, but that astro is chillin'
[10:13:03]  stupidketchup: ok starnsform. 4/10 Kappa
[10:18:28]  stupidketchup: gotta go. thanks for being my workout entertainment. good luck <3
[10:20:51]  captainfalcum: infinite
[10:21:36]  99percentsneaky: catJAM
[10:23:11]  99percentsneaky: a tool belt to hold our calipers, astrolabe and tongs :)
[10:28:47]  karabolastreams: Mornin beardy
[10:32:17]  99percentsneaky: whoa there's artwork on the pillars in the background?
[10:32:36]  99percentsneaky: in the fight scene
[10:41:56]  badterence: You just blocked that guy’s best move
[10:44:22]  sparklecrotchthottie: i just found two bottles in one shop POGGARS
[10:44:57]  sparklecrotchthottie: lighting and tornado
[10:45:00]  sparklecrotchthottie: literal cringe
[10:46:25]  nerdbusta1: oops infinite Kappa
[10:53:20]  99percentsneaky: NotLikeThis
[10:55:17]  99percentsneaky: wing boots in chest Clueless
[10:57:47]  dr0gulus: hmm
[11:02:15]  truesque: hello
[11:02:17]  truesque: have you killed
[11:02:30]  truesque: I went to the library to charge all the things
[11:02:38]  truesque: I am without power since yesterday afternoon
[11:03:22]  dr0gulus: even if the sun isn't shining you must think positively
[11:03:25]  truesque: rude power
[11:03:26]  dr0gulus: KAOSA
[11:03:28]  truesque: holy
[11:03:31]  truesque: true
[11:03:32]  truesque: KAOSA
[11:04:21]  muirthemne: DinoDance DinoDance DinoDance
[11:05:09]  muirthemne: hi im here for the fruit rave brioBounce
[11:05:32]  truesque: please furit rave
[11:05:33]  truesque: please
[11:05:44]  muirthemne: ^^^
[11:06:27]  muirthemne: please we need dino avocado
[11:08:30]  dr0gulus: every time i look at stream you are fighting darklings
[11:08:39]  muirthemne: brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance
[11:08:50]  dr0gulus: @muirthemne holy
[11:10:34]  dr0gulus: stalling the darklings
[11:10:43]  dr0gulus: someone didn't take their antidepressant last night Sadge
[11:11:20]  firstdane: red guy plays blue guy
[11:12:02]  muirthemne: red buy blue it Sadge
[11:12:12]  muirthemne: red guy* blue it
[11:12:46]  muirthemne: DinoDance
[11:14:22] disconnected
[11:14:22] Server connection timed out, reconnecting
[11:14:54] connected
[11:15:03]  bunhara: are you calling me a liar
[11:15:36]  muirthemne: ill call u a bun
[11:15:48]  bunhara: why
[11:16:19]  muirthemne: 😏 cause beardy wont play the fruit rave video
[11:16:28]  bunhara: his loss
[11:23:27]  firstdane: !exwife
[11:23:47]  firstdane: didnt call uno smh
[11:25:38]  muirthemne: bingo
[11:42:11]  muirthemne: redbea13Squid
[11:45:29]  muirthemne: DinoDance peanut dino vibes?
[11:47:34]  clerkyturkey: i just came back but it looks like we dont have a bulletproof scaling plan?
[11:47:47]  clerkyturkey: safe option feels ok. it's only 5 more power on dagger anyway
[11:48:25]  clerkyturkey: it stacked
[11:48:27]  clerkyturkey: holy
[11:48:38]  muirthemne: Beebo
[11:48:49]  bunhara: what was the vuln damage, 109?
[11:48:54]  clerkyturkey: yes
[11:49:16]  bunhara: whats the damage on dagger rn
[11:49:31]  bunhara: then it stacked
[11:56:06]  makyato5: o
[12:00:51]  captainfalcum: this album is p good
[12:00:57]  captainfalcum: moneym59JAM
[12:02:43]  captainfalcum: winning
[12:06:25]  leprochauninja: did you win
[12:06:29]  leprochauninja: are you going again
[12:06:48]  leprochauninja: how does 2-1-2 = 4?
[12:07:24]  leprochauninja: well your title is 2-1-2(4)
[12:08:41]  leprochauninja: that's a serious infraction and I'm writing you up for it
[12:09:03]  muirthemne: brioWorry
[12:09:25]  leprochauninja: I'll report you to the only person who I think would be upset about it
[12:09:27]  99percentsneaky: injury? more like winjury GOTTEM
[12:09:28]  dr0gulus: it means 2 wins, 1 loss, and 1 tie
[12:09:28]  leprochauninja: the LC
[12:09:50]  captainfalcum: I'm mad
[12:10:09]  leprochauninja: rip box
[12:10:12]  muirthemne: hi mad im muir
[12:10:14]  captainfalcum: an abacus
[12:10:20]  muirthemne: le abacus
[12:10:32]  muirthemne: no regurts
[12:15:15]  bunhara: strike wildly
[12:16:07]  muirthemne: reapists
[12:17:14]  captainfalcum: curse deck
[12:17:18]  captainfalcum: oh
[12:17:24]  bunhara: why does beardy hate darkstone pear
[12:17:41]  captainfalcum: !bun
[12:18:15]  bunhara: reaped
[12:18:17]  muirthemne: PogBones
[12:19:41]  muirthemne: brioBounce
[12:20:27]  muirthemne: 15 - 7 - 9 = 0 :)
[12:21:01]  captainfalcum: 💣
[12:22:17]  muirthemne: monkaS
[12:24:13]  leprochauninja: this is unfair rng
[12:24:27]  leprochauninja: you're drawing too well
[12:24:38]  captainfalcum: gamer alert
[12:25:05]  leprochauninja: magnetism also only giving you block is uncool
[12:25:32]  captainfalcum: critical hit
[12:26:05]  bunhara: !sr beans and cornbread
[12:26:05]  nightbot: @Bunhara -> "Beans and Cornbread - Louis Jordan and the Tympany Five" by NormieNoise has been added to the queue in position #1
[12:26:11]  leprochauninja: I would have only gotten like forethought and thinking ahead
[12:26:25]  bunhara: !sr louis prime just a jiggalo
[12:26:26]  nightbot: @Bunhara -> "Louis Prima   Just A Gigolo I Ain't Got Nobody" by Temo Jincharadze has been added to the queue in position #2
[12:26:36]  99percentsneaky: GIGACHAD smooth stone
[12:26:48]  bunhara: @leprochauninja be a better player
[12:27:24]  nerdbusta1: hi mark
[12:27:29]  captainfalcum: !sr good hands ka navy blue
[12:27:29]  nightbot: @CaptainFalcum -> "In Good Hands (feat. KA)" by Navy Blue - Topic has been added to the queue in position #3
[12:27:36]  captainfalcum: Marcus Pane
[12:30:01]  captainfalcum: moneym59JACKIE
[12:30:06]  nerdbusta1: Evolve is here Kreygasm
[12:30:12]  bunhara: VoteYea
[12:31:32]  99percentsneaky: pog events this act
[12:32:02]  bunhara: put pain on top?
[12:32:58]  bunhara: strike
[12:33:07]  99percentsneaky: monkaS
[12:33:18]  bunhara: the brimstone with the reaper relict
[12:33:41]  nerdbusta1: Winstone podg
[12:34:32]  99percentsneaky: there's the pillar art in the back, some kind of bird god maybe
[12:34:36]  bunhara: any order enjoyers
[12:34:58]  nerdbusta1: @99percentsneaky what could it mean??
[12:35:03]  bunhara: @99percentsneaky you mean the only bird god in the spire?
[12:35:12]  99percentsneaky: awakened one standing up??
[12:35:32]  bunhara: what, a guy cant dtand these days?
[12:35:35]  captainfalcum: moneym59JACKIE moneym59JACKIE moneym59JACKIE moneym59JACKIE moneym59JACKIE moneym59JACKIE moneym59JACKIE
[12:35:40]  bunhara: moneym59JACKIE
[12:35:44]  bunhara: moneym59JACKIE moneym59JACKIE moneym59JACKIE moneym59JACKIE moneym59JACKIE
[12:36:12]  nerdbusta1: moneym59JACKIE moneym59JACKIE moneym59JACKIE￼￼ moneym59JACKIE
[12:36:15]  captainfalcum: moneym59JAM
[12:37:41]  99percentsneaky: makes sense to have the art here, for the cultists to worship
[12:38:56]  captainfalcum: !sr orpheus hades
[12:38:56]  nightbot: @CaptainFalcum -> "Hades - Lament of Orpheus" by Supergiant Games has been added to the queue in position #1
[12:39:06]  captainfalcum: woah 🤔
[12:39:23]  captainfalcum: !sr Orpheus vs sirens hades
[12:39:23]  nightbot: @CaptainFalcum -> "Orpheus vs. the Sirens: Ka's Mythological Masterpiece" by Def Goldbloom has been added to the queue in position #1
[12:39:41]  bunhara: oh LUL we actually gor the rupture
[12:39:46]  captainfalcum: 🤔
[12:39:51]  bunhara: and duvu
[12:39:55]  bunhara: is this guy hacking
[12:40:14]  99percentsneaky: !sr spiritual but not religious oliver koletzki
[12:40:15]  nightbot: @99PercentSneaky -> "Oliver Koletzki - Spiritual But Not Religious [Stil vor Talent]" by Stil vor Talent has been added to the queue in position #2
[12:40:20]  captainfalcum: infinite
[12:42:13]  tubbiekim: !pronouns
[12:42:13]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[12:42:21]  captainfalcum: !sr ka I love
[12:42:22]  nightbot: @CaptainFalcum -> "Ka - I Love (Mimi, Moms, Kev)" by brownsvilleka has been added to the queue in position #3
[12:42:58]  captainfalcum: !sr atmosphere rftc
[12:42:59]  nightbot: @CaptainFalcum -> "RFTC" by Atmosphere - Topic has been added to the queue in position #3
[12:43:06]  tubbiekim: Brimstone card
[12:43:20]  captainfalcum: you can skip this beardy. it's a think piece video lol
[12:43:46]  bunhara: are you saying beardy cant think
[12:44:01]  captainfalcum: it's to save you bun
[12:44:05]  nerdbusta1: Infinite
[12:44:16]  captainfalcum: bc your brain doesn't work well
[12:44:59]  99percentsneaky: is that the Atmosphere from the mid-west Captain?
[12:45:08]  captainfalcum: !sr elephant man's bones official video roc marciano
[12:45:09]  nightbot: @CaptainFalcum -> "Roc Marciano & The Alchemist - “The Elephant Man's Bones” Official Video" by Roc Marciano has been added to the queue in position #3
[12:45:19]  captainfalcum: @99percentsneaky VoteYea
[12:45:31]  99percentsneaky: poogers
[12:46:59]  captainfalcum: 🐄
[12:47:00]  bunhara: paparCow
[12:47:07]  99percentsneaky: moo-gers
[12:47:07]  tubbiekim: More like mooo
[12:47:07]  muirthemne: boo urns?
[12:47:36]  captainfalcum: hwound
[12:48:06]  bunhara: corruption sucks
[12:48:46]  captainfalcum: moneym59JACKIE
[12:48:52]  99percentsneaky: LOOL
[12:48:53]  nerdbusta1: break me
[12:49:01]  captainfalcum: moneym59JAM
[12:49:17]  bunhara: !sr bossa nova cha cha
[12:49:17]  nightbot: @Bunhara -> "Bossa Nova Cha Cha" by Luiz Bonfá - Topic has been added to the queue in position #3
[12:51:17]  captainfalcum: moneym59SHAKE moneym59JAM moneym59SHAKE
[12:52:13]  99percentsneaky: LUL +1
[12:52:14]  captainfalcum: str
[12:52:33]  firstdane: redbea13StickL firdBIRB redbea13StickR
[12:52:45]  firstdane: wow this enemy still exists?
[12:52:48]  captainfalcum: birb
[12:53:14]  99percentsneaky: !sr Concrete Schoolyard
[12:53:14]  nightbot: @99PercentSneaky -> "Concrete Schoolyard" by Jurassic 5 - Topic has been added to the queue in position #3
[12:53:41]  moneymoneyloot: CaptainFalcum: papa is underrated imo. he chats a lot and plays pretty quick and wins a good amount
[12:53:51]  captainfalcum: moneym59JACKIE
[12:54:18]  captainfalcum: !sr y pharcyde audio
[12:54:18]  nightbot: @CaptainFalcum -> "Y?" by The Pharcyde - Topic has been added to the queue in position #4
[12:54:30]  captainfalcum: moneym59JAM
[12:54:47]  captainfalcum: throbbing relict
[12:55:06]  captainfalcum: infinite
[12:57:38]  captainfalcum: str
[12:57:42]  firstdane: the man card
[12:59:00]  thytip: !ponouns
[12:59:07]  thytip: !pronouns
[12:59:07]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[12:59:10]  captainfalcum: :)
[12:59:16]  thytip: sup bootyfull
[12:59:40]  thytip: eating whild i watch the king put in wokr
[13:00:04]  thytip: been debating playing sts again  KEKW
[13:00:10]  captainfalcum: nibph
[13:00:42]  captainfalcum: moneym59JAM
[13:00:45]  thytip: any certain challenge you doing rn? or just normal a20 run
[13:00:51]  firstdane: i played one game of sts last night and was quickly reminded why i stopped
[13:00:56]  99percentsneaky: peepoPls
[13:01:16]  thytip: @firstdane how bad was it lol
[13:01:24]  captainfalcum: I remember when dane got partner and won like 50 games in a row
[13:01:27]  captainfalcum: what a gamer
[13:01:54]  firstdane: not "bad" but i couldnt be bothered to care about making a grand finale deck work
[13:02:07]  firstdane: just apathetic about it i guess
[13:02:55]  thytip: yeah can be annoying to setup
[13:03:04]  thytip: think ive done like 1 or 2 grand finales lol
[13:04:37]  thytip: i just oonga boonga watcher into infinite lol
[13:04:58]  leprochauninja: there's just something so satisfying about the grand finale special effects
[13:05:38]  thytip: merl is watcher master
[13:05:56]  bunhara: i think i have the finale effect
[13:06:07]  captainfalcum: moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM
[13:06:15]  bunhara: from when i mDe the emote
[13:06:39]  bunhara: ill look for it later
[13:07:00]  bunhara: apneaa made this mod
[13:07:03]  bunhara: that like
[13:07:11]  bunhara: blacks out most things on the screen
[13:07:19]  bunhara: wait no
[13:07:27]  bunhara: im actually pretty sure i just like
[13:07:36]  muirthemne: smileW
[13:07:40]  bunhara: acreen recorded it and erased the background
[13:07:48]  bunhara: thats literally it lol
[13:08:01]  bunhara: i just used gimp yeah
[13:08:02]  99percentsneaky: Watcher is blind....but was released in 20/20...cheeky devs Okayge
[13:08:08]  bunhara: it was way too tedious
[13:08:19]  bunhara: but the emotr was worth it
[13:09:35]  bunhara: i did the same thing for another emote but with the coin rain effect
[13:09:44]  bunhara: also way too tedious lol
[13:09:56]  ruah777: remember pain is a curse
[13:10:16]  bunhara: idk if the emote is on this channel + im on mobile so i couldnt see it if it was
[13:10:22]  bunhara: lemme just link it
[13:11:18]  bunhara: https://betterttv.com/emotes/62e156c2d991a3e26c1368d5
[13:13:08]  99percentsneaky: !sr https://www.youtube.com/watch?v=fFfyevwPqxY
[13:13:08]  nightbot: @99PercentSneaky -> "Here Comes the Sun" by Countdown Studio Band - Topic has been added to the queue in position #1
[13:13:09]  muirthemne: omg thats amazing bun
[13:13:12]  bunhara: its not a punishment id wish on my worst enemy dkShame
[13:13:14]  muirthemne: i didnt know u made that one
[13:13:21]  bunhara: thank you muir
[13:13:24]  bunhara: merl61Cawww1 merl61Cawww2
[13:13:35]  99percentsneaky: slowJAM
[13:14:23]  bunhara: is this an ad
[13:14:35]  firstdane: what the heck thats amazing bun
[13:14:55]  firstdane: how long did it take you to learn to make something like that?
[13:14:56]  bunhara: @firstdane you're amazing, bun
[13:15:06]  muirthemne: sy1vieWOW
[13:15:39]  glint0: GOOD MUSIC
[13:15:42]  bunhara: it's not really anything to learn tbh. i just ripped some assets from the game, resized em, moved em around, erased, etc
[13:15:43]  glint0: baalorJam
[13:15:49]  99percentsneaky: bag-o'-pog catYep
[13:15:51]  firstdane: every time i try to make emotes i spend 6 hours on what ends up being a stick figure
[13:16:11]  bunhara: ive done original art emotes, but this one was not one of them
[13:16:12]  firstdane: complete artistic void over here
[13:16:21]  glint0: MAWBBERS is peak emote
[13:16:21]  leprochauninja: I did make a bunch of cards into easy to use emotes at one time
[13:16:37]  bunhara: its also still hard to compare to a monster like apneaa
[13:17:01]  bunhara: HUGE RUPTURE VALUE
[13:17:21]  leprochauninja: I can get the drive link folder for that if people want it
[13:17:23]  nerdbusta1: Apneaa was streaming making an emote for Cheg0. That was pretty interesting
[13:17:47]  bunhara: they always wanna cum
[13:18:48]  99percentsneaky: but they never want a leaf
[13:18:58]  bunhara: dkShame
[13:19:29]  bunhara: what if it does hurt
[13:20:25]  99percentsneaky: weird...a seed with only 1 number....feels rare
[13:20:27]  ruah777: this draws been trash
[13:20:36]  ruah777: wow
[13:20:41]  ruah777: painful
[13:21:02]  apneaa: bunhara is the best spire emote artist but she is lazier than me
[13:21:02]  bunhara: no no, painful is cycle 4
[13:21:44]  bunhara: there is truth within thise words
[13:22:01]  bunhara: 4 potions used, and still not 100 damage done
[13:22:26]  glint0: monkaS
[13:22:52]  glint0: brimstone problems
[13:23:00]  apneaa: also the "twitch chat dark mode color background" mode for spire
[13:23:06]  apneaa: was made for me by jerrylicious
[13:23:13]  bunhara: right, right
[13:23:21]  bunhara: i just remember you introducing it to me
[13:23:22]  apneaa: i did come up with the idea
[13:23:27]  apneaa: but jerry executed
[13:23:36]  bunhara: as be always does Kreygasm
[13:24:25]  apneaa: what that mod mean is that some of my emotes might look worse on light theme twich
[13:24:26]  apneaa: but
[13:24:46]  apneaa: users that use lightmode dont deserve to have good looking emotes
[13:24:50]  apneaa: DansGame
[13:24:57]  bunhara: true!
[13:25:14]  nerdbusta1: I use light mode u.u
[13:25:16]  bunhara: INF BatChest
[13:25:24]  apneaa: gg
[13:25:30]  glint0: INFINITE
[13:25:33]  apneaa: is that 5 streak
[13:25:34]  apneaa: monkaS
[13:25:35]  gabivoid: GG
[13:25:36]  99percentsneaky: gg
[13:25:37]  firstdane: g g
[13:25:40]  duncanarchib: just got here for an infinite brain kill? GG
[13:25:40]  glint0: g g
[13:26:21]  leprochauninja: it wasn't infinite it only lasted a few minutes
[13:26:21]  bunhara: claims to be apathetic playing the watxher, yet goes infinite on the ironclad in the heart. curious.
[13:27:56]  duncanarchib: multi-deck archetype drifting very nice
[13:28:21]  nerdbusta1: Did you pick up the True grit specifically for the infinite?
[13:29:00]  nerdbusta1: I think you took in Act 3
[13:29:09]  nerdbusta1: And then upgraded immediately
[13:29:10]  bunhara: there is a giant orb in the sky that you are not allowed to make direct eye contact with and you dont question that? 🐑
[13:29:45]  ruah777: did we just exhaust down to infinite?
[13:30:03]  ruah777: fair enough
[13:30:05]  muirthemne: @bunhara TheIlluminati
[13:30:14]  bunhara: TheIlluminati
[13:30:14]  ruah777: it looked like our str was just good enough
[13:30:19]  firstdane: beardy do you have a guide on how to do multiple audio sources to avoid music going to vods?
[13:30:33]  ruah777: yea this is a deck that just races to the end
[13:30:44]  bunhara: beardy will come to your house personally and teach you
[13:30:59]  nerdbusta1: I ask about the true grit because I almost never pick up the card. I feel like I may be underrating the card
[13:31:15]  bunhara: i think true grit is both overrated and underrated
[13:31:18]  redbeardy_mcgee: https://obsproject.com/forum/resources/win-capture-audio.1338/
[13:31:25]  muirthemne: thats apretty simple obs setting i think, Dane
[13:31:42]  firstdane: <3
[13:31:48]  firstdane: i will let you know
[13:31:48]  leprochauninja: Dane's a smart guy he can figure it out
[13:31:57]  muirthemne: he's the first, after all
[13:32:08]  bunhara: who's the second
[13:32:16]  muirthemne: it's me :)
[13:32:19]  leprochauninja: @bunhara that would be SecondDane
[13:32:20]  bunhara: monkaS
[13:32:25]  muirthemne: oh
[13:32:29] 
[13:32:34]  leprochauninja: lmao
[13:32:40]  skippygoober: It's so hot out @Redbeardy_McGee but I keep comforting myself by telling myself we are creating a lot of value for fossil fuel shareholders OpieOP
[13:33:23]  firstdane: medizzy
[13:33:43]  firstdane: im sure its not that bad once you get it all down
[13:34:05]  muirthemne: plug deez nuts GOTTEM
[13:34:37]  firstdane: finally 4 hours and we get to see the true sts experience: green
[13:34:59]  leprochauninja: stopping at 4:20
[13:35:02]  leprochauninja: what a gamer
[13:35:08]  bunhara: vmservMine vmservDiamond
[13:35:21]  firstdane: money eats straight into the microphone just saying
[13:35:23]  bunhara: noobzor
[13:35:30]  muirthemne: please
[13:35:31]  muirthemne: fruit rave
[13:35:38]  muirthemne: DinoDance
[13:35:43]  nerdbusta1: streaking KomodoHype
[13:35:44]  bunhara: DinoDance
[13:35:53]  leprochauninja: he knows what his viewers want
[13:37:04]  nerdbusta1: peepoHello
[13:37:27]  leprochauninja: noobzor is on
[13:37:28]  bunhara: dr0gulMAWgChamp Squid4
[13:37:32]  firstdane: have fun with jim tonight!
[13:37:41]  muirthemne: redbea13Bouldy coxWiggle
[13:38:11]  duncanarchib: cheers!
[13:38:18]  firstdane: bye gamers
[13:38:20]  bunhara: redbea13Bouldy
[13:38:23]  muirthemne: 🧔 raid
[13:38:42]  leprochauninja: raid did not work
[13:39:02] Redbeardy_McGee is now offline.
[14:14:34] disconnected
[14:14:34] Server connection timed out, reconnecting
[14:14:41] connected
