# Start logging at 2023-07-28 09:16:13 CDT
[09:16:13] disconnected
[09:16:13] Friday, July 28, 2023
[09:16:13] Server connection timed out, reconnecting
[09:16:15] connected
# Start logging at 2023-07-28 09:32:11 CDT
[09:32:11] connected
[09:36:10] Redbeardy_McGee is live!
[09:36:26]  moribund: FeelsBeardMan
[09:50:27]  captainnoobzor: what about the beautiful spiker
[09:50:32]  captainnoobzor: money likes to hang out with that one
[09:51:02]  bubbadoongai: my spiker solution is a persuasion check
[09:51:11]  moneymoneyloot: they bring me back to the only grade i succeeded in at school
[09:51:28]  moneymoneyloot: kindergarten
[09:51:41]  dr0gulus: 11th, when he finally learned his shapes
[09:51:41]  moneymoneyloot: the star block goes in the star hole
[09:53:28]  captainnoobzor: good turn 1
[09:53:30]  dr0gulus: while everyone else in the classroom was learning algebra, money was practicing shuffling a deck of cards in the corner. he was a prodigy at a young age.
[09:53:31]  captainnoobzor: didnt take damage
[09:54:53]  a_snail_chosen_at_random: the green character
[09:54:59]  bunhara: @captainnoobzor next modded stream you do should be Jerrylicious's mod, Bad Spire
[09:55:04]  a_snail_chosen_at_random: i see unpurchased frozen eye what happened
[09:55:14]  captainnoobzor: what is that mod
[09:55:23]  bunhara: nave and I were talking about it last night
[09:55:29]  bunhara: but nave's not a big mod guy
[09:55:32]  captainnoobzor: maybe i stream it today if it's good
[09:55:35]  moneymoneyloot: as I carefully placed one card at a time from the top of the deck to the bottom my classmates asked "what are you doing?"
[09:55:36]  bunhara: so we figured Noobzor might play it
[09:55:40]  moneymoneyloot: I'm going infinite :)
[09:55:48]  bunhara: @captainnoobzor its really bad (its good)
[09:55:52]  captainnoobzor: i wanna sample but i cant sleep at night
[09:56:03]  captainnoobzor: modded runs are a way to cure my spire addiction without throwing
[09:56:06]  bunhara: the sample is ruining your life
[09:56:22]  captainnoobzor: precisely
[09:56:30]  bunhara: how did you draw so well in the jaw worm fight
[09:56:36]  bunhara: i thought that wasnt possible
[09:56:49]  captainnoobzor: aoe fight
[09:56:52]  captainnoobzor: explosive pot?
[09:57:10]  bunhara: always rip explo pot in fights with 2 or more enemies
[09:57:30]  captainnoobzor: dagger spray would have been good just a minute earlier
[09:57:39]  captainnoobzor: i guess terror will have to do then
[09:57:47]  bunhara: found some potions
[09:57:51]  captainnoobzor: punished for not using explo pot
[09:57:54]  bubbadoongai: picking exhaust cards to keep the flash of steel infinite alive
[09:58:32]  captainnoobzor: snecko skull potion
[09:58:35]  bunhara: dupe pot is +1 damage than explo pot
[09:58:40]  bunhara: except innsentries
[09:59:07]  captainnoobzor: dupe pot is +99 vuln
[09:59:14]  captainnoobzor: kind of like 33 fear pots
[09:59:15]  captainnoobzor: if you ask me
[09:59:18]  bunhara: holy
[10:00:22]  dr0gulus: ancient pog set
[10:00:28]  dr0gulus: solves act 4 elites
[10:00:33]  dr0gulus: best common relic?
[10:00:33]  moneymoneyloot: strictly better sundial
[10:00:37]  bunhara: noobzor not a tea set believer dkShame
[10:00:40]  a_snail_chosen_at_random: ancient TPOG
[10:00:45]  dr0gulus: ancient TPOG
[10:00:52]  moneymoneyloot: ancient TPOG
[10:00:57]  dr0gulus: LUL
[10:01:04]  captainnoobzor: what the hell is bad spire
[10:01:25]  moneymoneyloot: artifact strip potion Kreygasm
[10:01:27]  captainnoobzor: it seems very chaotic
[10:01:28]  bunhara: its a mod that adds content to the vanilla characters
[10:01:31]  captainnoobzor: i guess i will do one run
[10:02:19]  dr0gulus: beardy hates taxation
[10:02:21]  dr0gulus: confirmed
[10:02:24]  captainnoobzor: i also want to check out the BC balance mod
[10:02:33]  moribund: Kunai gg
[10:02:34]  bunhara: bc balance is really funny
[10:02:35]  dr0gulus: oh BC balance
[10:02:38]  moneymoneyloot: gg
[10:02:50]  bunhara: fun fact about bc balance is that its not patched content
[10:03:05]  bunhara: everythinf it changes is actually just them like
[10:03:13]  bunhara: building in top of the base game or whatever
[10:03:28]  dr0gulus: that supposed to be a fun fact?
[10:03:33]  bunhara: its a very fucked up mod
[10:03:41]  a_snail_chosen_at_random: i had fun
[10:03:41]  bunhara: @dr0gulus learn what fun is, buddy
[10:03:45]  moneymoneyloot: its a bun fact
[10:03:48]  moneymoneyloot: not fun
[10:03:50]  moneymoneyloot: just bun
[10:03:51]  dr0gulus: bun fact
[10:03:52]  a_snail_chosen_at_random: bun bact
[10:03:56]  apneaa: cheg0Pls cheg0Pls cheg0Pls cheg0Pls
[10:04:04]  bunhara: this chats full of nothing but parrots
[10:04:17]  dr0gulus: She/They Bunhara: this chats full of nothing but parrots
[10:04:17]  bunhara: !sr lotus flower bomb
[10:04:18]  nightbot: @Bunhara -> "Wale - Lotus Flower Bomb feat. Miguel [Official Music Video]" by Wale has been added to the queue in position #1
[10:04:20]  a_snail_chosen_at_random: Jebaited
[10:04:21]  darthziggler: this chats full of nothing but parrots
[10:04:26]  moneymoneyloot: dr0gulus: She/They Bunhara: this chats full of nothing but parrots
[10:04:26]  captainnoobzor: you have trained us well
[10:04:42]  dr0gulus: money just died to book of stabbing
[10:04:44]  dr0gulus: got him
[10:04:45]  darthziggler: <3
[10:04:45]  a_snail_chosen_at_random: !pronouns
[10:04:45]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[10:04:54]  bunhara: thank you
[10:04:58]  bunhara: thank you soo much
[10:05:00]  bunhara: for the follow
[10:05:02]  darthziggler: thank you very happy SQUAWK
[10:05:07]  tronsg: redbea13Bouldy redbea13Bouldy
[10:05:09]  moribund: Sloth
[10:05:21]  darthziggler: npc chat
[10:05:21]  captainnoobzor: the kunai dodge and roll synergy
[10:05:26]  bunhara: redbea13Cultist
[10:05:38]  captainnoobzor: the snecko skull DP synergy
[10:05:41]  tronsg: hey beardy hey friends :)
[10:05:46]  captainnoobzor: wait
[10:05:49]  captainnoobzor: snecko skull did arrive
[10:05:50]  bunhara: sneaky strike strike dummy
[10:06:26]  bunhara: blessing of the forge rest synergy
[10:08:51]  bunhara: !sr childrens story slick rick
[10:08:51]  nightbot: @Bunhara -> "Children's Story" by Slick Rick - Topic has been added to the queue in position #4
[10:08:59]  truesque: Kil
[10:09:00]  bunhara: kunai deck
[10:09:02]  truesque: hellof5Flower
[10:09:05]  bunhara: trucks
[10:09:05]  captainnoobzor: nightmare the kunai
[10:09:07]  captainnoobzor: wait
[10:09:09]  captainnoobzor: flash of steel infinite
[10:09:12]  bunhara: nightmsre flash
[10:09:14]  bunhara: hooooly
[10:09:19]  dr0gulus: stream off run
[10:09:26]  dr0gulus: holy
[10:09:28]  captainnoobzor: 4 flash of steels finisher
[10:09:29]  truesque: I did
[10:09:31]  bunhara: nightmare terror
[10:09:35]  truesque: It owned
[10:09:41]  captainnoobzor: 396 vuln
[10:09:44]  captainnoobzor: how many fear potions is that
[10:10:01]  truesque: The GAs were something like 160, 130, and 60
[10:10:10]  truesque: I picked up a third one in act 3 I think
[10:10:36]  truesque: No o was just stacking them hellof5Giggle
[10:10:37]  dr0gulus: you never know when the enemy might attack you for 160
[10:11:48]  truesque: 161, 137, 63
[10:11:51]  truesque: I checked
[10:12:33]  phrogamid: BIGFROG
[10:12:53]  dr0gulus: you should be able to block the damage the merchant does to your wallet
[10:13:07]  truesque: Holy
[10:13:12]  a_snail_chosen_at_random: buffer op
[10:13:26]  bunhara: BIGFROG @phrogamid
[10:13:57]  bunhara: catJAM
[10:14:10]  bunhara: glass knife
[10:14:17]  moribund: moneym59JAM
[10:14:27]  phrogamid: for some reason the pronouns thing hasn't worked for a while
[10:14:29]  bunhara: moneym59SHAKE
[10:14:37]  bunhara: @phrogamid do you have 7tv enables
[10:14:38]  phrogamid: dogJAM
[10:14:40]  a_snail_chosen_at_random: yeah i can'
[10:14:41]  phrogamid: yes
[10:14:45]  a_snail_chosen_at_random: t see pronouns either
[10:14:51]  bunhara: because I found out that the 7tv layout doesnt show pronouns
[10:14:55]  phrogamid: weird
[10:14:58]  bunhara: you dont need the 7tv extension turned on
[10:15:04]  bunhara: you can disable it if you want
[10:15:11]  bunhara: and honestly i think its better with it off lol
[10:15:21]  phrogamid: with 7tv turned off altogether?
[10:15:25]  a_snail_chosen_at_random: holy ir worked
[10:15:32]  bunhara: as king as you have bttv installed you should befine
[10:15:48]  phrogamid: i actually removed bttv for 7tv
[10:16:06]  bunhara: reinstall bttv then
[10:16:14]  phrogamid: seems redundant
[10:16:23]  bunhara: the 7tv layout did some really annoying things with emotes for me
[10:16:23]  redbeardy_mcgee: https://github.com/GabeEddyT/chatterino2
[10:16:33]  bunhara: i hated it
[10:16:46]  phrogamid: oh thats neat
[10:16:54]  phrogamid: i could never work out how to use chatterino
[10:18:08]  captainnoobzor: the k in cloak stands for gg
[10:18:09]  phrogamid: i am not good with computer PoroSad
[10:18:22]  apneaa: yo
[10:18:24]  apneaa: i just
[10:18:26]  apneaa: figured out
[10:18:34]  captainnoobzor: dagger literally spells out gg in it
[10:18:35]  apneaa: the most delicious beverage
[10:18:39]  bunhara: return of the mac
[10:18:43]  bunhara: revenge of the windows
[10:18:45]  truesque: Apneaa monkaS
[10:18:54]  truesque: Drank the vanilla rum straight
[10:18:58]  phrogamid: is it snail juice Apneaa
[10:19:06]  a_snail_chosen_at_random: monk
[10:19:08]  apneaa: grapefruit juice with strawberry syrup(my sibling left a YUGE sirup bottle behind)
[10:19:08]  bunhara: is it snail juice @a_snail_chosen_at_random
[10:19:09]  apneaa: it taste
[10:19:14]  apneaa: almost like blood orange
[10:19:21]  truesque: Whoa
[10:19:25]  truesque: That does sound good
[10:19:42]  truesque: Upgrade all is coming
[10:19:45]  apneaa: @truesque i'm so ready to use the vanilla extract
[10:19:51]  a_snail_chosen_at_random: @bunhara monkaS
[10:19:51]  apneaa: i'm doing the crepes like
[10:19:52]  truesque: Ouch
[10:19:53]  bunhara: damage deck
[10:19:55]  apneaa: in a few days
[10:20:06]  truesque: @apneaa KomodoHype
[10:20:07]  apneaa: i'll pick up this nightmare real quick
[10:20:09]  apneaa: watch this
[10:20:10]  truesque: Send pics pls
[10:20:20]  a_snail_chosen_at_random: send crepes pls
[10:20:29]  apneaa: @truesque well the crepes wont look like anything
[10:20:48]  apneaa: transparent crepes
[10:20:49]  apneaa: monkaS
[10:20:54]  truesque: They will look like crepes
[10:20:54]  apneaa: i make em THIGG
[10:20:58]  captainnoobzor: @apneaa what the
[10:21:01]  a_snail_chosen_at_random: rice papaer crepes monkaS
[10:21:01]  apneaa: not pancake worthy
[10:21:06]  apneaa: but fairly zigg
[10:21:15]  a_snail_chosen_at_random: zigg
[10:21:42]  captainnoobzor: completely garbaged
[10:21:51]  moribund: scoundrel
[10:21:56]  captainnoobzor: paid 60g for a wail
[10:21:57]  truesque: Mugged :(
[10:22:06]  a_snail_chosen_at_random: spending 29 gold a floor and like 20 hp for a piercing wail
[10:22:08]  a_snail_chosen_at_random: value
[10:22:18]  a_snail_chosen_at_random: oh 49g? holy
[10:22:22]  truesque: True
[10:22:48]  truesque: The wail will block 120 in act 4
[10:22:55]  a_snail_chosen_at_random: NOBBERS
[10:23:09]  moribund: slimeD
[10:23:42]  apneaa: @truesque troosk about to be redpilled about the powerlevels between silent and defect
[10:23:45]  apneaa: monkas
[10:23:56]  apneaa: whail is just a fullly stacked aoe ga
[10:24:03]  apneaa: thats common
[10:24:53]  truesque: Silent does have some truly silly cards
[10:25:03]  captainnoobzor: like the quick slash card
[10:25:09]  truesque: True
[10:25:21]  captainnoobzor: as far as im concerned flash of steel is just mini quick slash
[10:25:38]  truesque: Where is lash dummy
[10:25:46]  captainnoobzor: lash monkaS
[10:25:54]  captainnoobzor: flagellant trinket?
[10:26:35]  captainnoobzor: lmao
[10:27:11]  captainnoobzor: here's the envenom
[10:27:28]  captainnoobzor: bane come back
[10:27:35]  captainnoobzor: 20 damage 4 poison
[10:27:56]  dr0gulus: bane is on screen
[10:28:53]  bunhara: clad is so weak. twin strike needs an upgrade just to be as strong as bane-
[10:30:20]  apneaa: i take this envenom over skip
[10:30:21]  apneaa: 100
[10:30:25]  apneaa: but not over wraith
[10:30:45]  captainnoobzor: box has envenom
[10:30:50]  captainnoobzor: and 9 banes
[10:31:09]  apneaa: act1 silent box
[10:31:12]  apneaa: act1
[10:31:13]  apneaa: silent box
[10:31:22]  apneaa: i have not seen an act1 silent box skip is fucking
[10:31:24]  apneaa: years
[10:31:30]  apneaa: it's just insane
[10:31:42]  bunhara: backstabbing
[10:31:45]  muirthemne: brioBounce brioBounce brioBounce
[10:31:55]  navegreed: what a surprise you are infinite
[10:32:00]  bunhara: based on whst
[10:32:05]  captainnoobzor: this is not envenom
[10:32:06]  moribund: true story
[10:32:15]  captainnoobzor: infinite blades is literally in the deck
[10:32:20]  navegreed: close to infinite
[10:33:05]  captainnoobzor: you just grab 3 acrobatics reflex you are infinite
[10:33:09]  captainnoobzor: or you can
[10:33:14]  captainnoobzor: add every blur backflip dodge and roll
[10:33:17]  captainnoobzor: and play like a man
[10:33:22]  navegreed: nah just get reflex acro or something
[10:33:54]  captainnoobzor: the watcher vs kunai gg archetype
[10:33:58]  captainnoobzor: who would win
[10:34:25]  bunhara: !sr cotton jones i am the changer
[10:34:26]  nightbot: @Bunhara -> "Cotton Jones - "I Am The Changer"" by Gerry Cantwell has been added to the queue in position #1
[10:34:41]  moribund: SusDance
[10:36:53]  muirthemne: DonkeyKongPLS
[10:37:05]  captainnoobzor: you are close to the innate archetype
[10:37:38]  captainnoobzor: would you take three AI+s here
[10:40:11]  thefourthbrick: !pronouns
[10:40:11]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[10:40:22]  bunhara: the fourth
[10:40:30]  thefourthbrick: heya
[10:40:49]  bunhara: we bricked the dane draw
[10:41:09]  moribund: Beardy says Dane is interchangeable with a brick PepoG
[10:41:18]  apneaa: imagine having a tittle in your name
[10:41:19]  apneaa: dkShame
[10:41:25]  apneaa: when you can have more vowels instead
[10:41:30]  apneaa: KomodoHype
[10:43:26]  bunhara: planning
[10:43:34]  bunhara: the disl
[10:43:50] 31 raiders from justzul have joined!
[10:43:58]  nerdbusta1: I am a raider :)
[10:44:06]  bunhara: cant you play the ad early?
[10:44:09]  muirthemne: grubJAM
[10:44:22]  nerdbusta1: play and ad for me daddy
[10:44:25]  bunhara: grubJAM
[10:44:26]  apneaa: ze zuuuuulll
[10:44:34]  moribund: grubJAM
[10:44:48]  justzul: I was losing a lot
[10:44:53]  justzul: So that's fun
[10:45:03]  justzul: Oh nice!
[10:45:46]  apneaa: @justzul as long as youre winning more than the last 50
[10:45:52]  apneaa: i wont bring out the whip
[10:46:35]  justzul: Sorry i gotta go lmao. yah @Apneaa win rate is better than last 50. GLHF Beardy!
[10:47:05]  apneaa: @justzul bye zul
[10:47:17]  moribund: 💸
[10:47:30]  captainnoobzor: @NaveGreed would you take this sundial
[10:47:33]  captainnoobzor: or open up cursed key
[10:48:50]  moribund: three of SEVEN ads
[10:49:00]  moribund: literally worse than cable TV
[10:49:59]  bunhara: moneym59JAM moneym59JAM moneym59JAM
[10:50:16]  bunhara: a lovely daaaaaayyyyyyyyyyyyyyyyyyyyyyyyyy
[10:50:44]  muirthemne: moneyJAM
[10:51:31] disconnected
[10:51:31] Server connection timed out, reconnecting
[10:51:38] connected
[10:51:45] Redbeardy_McGee is now offline.
[10:52:12]  muirthemne: ferretJAM
[10:52:14] Redbeardy_McGee is live!
[10:52:23]  bunhara: ferretJAM
[10:52:28]  bunhara: you're good
[10:54:55]  muirthemne: gefafaYodypops
[10:55:20]  moribund: AlienDance
[10:56:12]  truesque: kil
[10:56:17]  a_snail_chosen_at_random: kil
[10:57:28] disconnected
[10:57:28] Server connection timed out, reconnecting
[10:57:44] connected
[11:01:29]  captainnoobzor: so reflex has been found
[11:01:56]  liquidsnaketf2: hey Red Its me amber
[11:03:07]  liquidsnaketf2: hows it going
[11:04:04]  liquidsnaketf2: i changed my username so i could just rebrand to YT
[11:04:30]  liquidsnaketf2: yeah
[11:04:55]  liquidsnaketf2: It is a metal gear ref
[11:05:57]  muirthemne: sy1vieSMILER
[11:06:12]  liquidsnaketf2: and i mainly been playing TF2 since i had the opportunity to collab with alot of big youtubers
[11:07:51]  liquidsnaketf2: plus i havent really enjoyed streaming on twitch in general
[11:08:59]  liquidsnaketf2: majority of my time here was people just upright attacking on my personality
[11:09:36]  skippygoober: you must be a family friendly TF2 strimmer my 5 year old is watching
[11:09:38]  skippygoober: LUL
[11:10:18]  apneaa: peoples are mean
[11:10:22]  apneaa: twitch has a lot of peoples
[11:11:06]  liquidsnaketf2: i have been moving to that kind of calmer content instead of being one of those people who value their content with innapropriateness
[11:11:47]  apneaa: beardy
[11:11:51]  apneaa: you have to hear this
[11:11:56]  nerdbusta1: I followed you @liquidsnaketf2
[11:12:05]  liquidsnaketf2: ty @nerdbusta1
[11:12:07]  nerdbusta1: Good luck with your content :)
[11:12:12]  apneaa: valve just came out with a tf2 update that changed the maximum player cap you can run on a private server
[11:12:21]  apneaa: as a result a fairly popular tech guy in the community
[11:12:23]  apneaa: has launched
[11:12:26]  apneaa: a 100 man server
[11:12:38]  apneaa: and bought a 16 CPU server online
[11:12:39]  surrealistic_ganerson: @apneaa I just heard about that
[11:12:40]  apneaa: BUT
[11:12:42]  apneaa: fun fact!
[11:12:47]  apneaa: tf2 run on a single CPU
[11:12:53]  apneaa: so he had to forfeit that server
[11:12:57]  liquidsnaketf2: yeah you can have up to 100 players and i been avoiding minecraft since i been burnt out
[11:12:57]  apneaa: and find a private server
[11:12:59]  apneaa: with ONE
[11:13:00]  apneaa: single
[11:13:02]  apneaa: MASSIVE CPU
[11:14:25]  bunhara: !sr we didnt start the fire
[11:14:25]  nightbot: @Bunhara -> "Fall Out Boy - We Didn't Start the Fire (Lyric Video)" by Fall Out Boy has been added to the queue in position #1
[11:17:17]  bunhara: positivexdraw enjoyers
[11:17:35]  bunhara: LUL
[11:17:39]  apneaa: KEKHeim
[11:17:54] disconnected
[11:17:54] Server connection timed out, reconnecting
[11:18:03] connected
[11:18:08]  captainfalcum: !sr clipse lord willin intro
[11:18:08]  nightbot: @CaptainFalcum -> "Intro" by Clipse - Topic has been added to the queue in position #1
[11:18:37]  captainfalcum: !sr shoulder lean dro audio
[11:18:38]  nightbot: @CaptainFalcum -> "Shoulder Lean (feat. T.I.)" by Young Dro - Topic has been added to the queue in position #2
[11:19:33]  bunhara: healing event
[11:19:36]  captainfalcum: b4ckst4b
[11:20:19]  captainfalcum: moneym59JACKIE
[11:20:24]  a_snail_chosen_at_random: deflect Kretg==ygasm
[11:20:25]  bunhara: moneym59JACKIE
[11:20:29]  a_snail_chosen_at_random: wow Kreygasm
[11:20:32]  moribund: Kretg==ygasm
[11:20:35]  bunhara: deflect Kretg==ygasm
[11:20:38]  captainfalcum: Kretg==ygasm
[11:22:00]  captainfalcum: moneym59JAM
[11:23:38]  captainfalcum: !sr John legend Maxine audio
[11:23:38]  nightbot: @CaptainFalcum -> "Maxine" by John Legend - Topic has been added to the queue in position #2
[11:24:35]  captainfalcum: moneym59JACKIE
[11:27:12]  nerdbusta1: !sr https://youtu.be/xlnhs4b7wbQ
[11:27:13]  nightbot: @nerdbusta1 -> "Green Lady" by Gordon Giltrap - Topic has been added to the queue in position #3
[11:28:12]  nerdbusta1: merl61EZ
[11:28:40]  captainnoobzor: this wraith form archetype sucks
[11:33:47]  captainnoobzor: free 250
[11:33:55]  captainnoobzor: must be nice
[11:34:19]  captainnoobzor: lose all gold pocketwatch start
[11:34:21]  nerdbusta1: All my homies love clumsy
[11:35:29]  nerdbusta1: Defect shop relics own
[11:35:46]  nerdbusta1: Sucks we miss out on the souvenir
[11:36:29]  nerdbusta1: Poget watch is one of the best relics so no complaints
[11:40:30]  a_snail_chosen_at_random: rare relicts KomodoHype
[11:40:53]  nerdbusta1: fish waiting room
[11:41:57]  nerdbusta1: man these relics own
[11:44:12]  nerdbusta1: The 4th energy seems a little weird right now with the watch but we’ll get high cost cards
[11:44:31]  nerdbusta1: Not a bad time to take a block card after Nob
[11:49:52]  nerdbusta1: 4 orb types for compile KomodoHype
[11:51:03]  nerdbusta1: !ad
[11:51:03]  nightbot: https://github.com/single-right-quote/VideoAdBlockForTwitchNoPepe
[12:03:17]  nerdbusta1: Is ecto a consideration?
[12:04:52]  sycocell: beardy!!
[12:04:55]  sycocell: is live!!!
[12:04:57]  sycocell: wooooo!!!!
[12:06:54]  sycocell: yeah that is why the run is taking so long. as we continued to build up that deck, our turns became more and more flexible. so there's a number of lines to consider each turn. it's definitely leaving me with headaches lol
[12:07:03]  sycocell: nonetheless, it's a super fun run
[12:08:21] Unrecognized command: /shoutout
[12:08:31]  redbeardy_mcgee: !shoutout SycoCell
[12:08:32]  nightbot: Go check out SycoCell at twitch.tv/SycoCell
[12:09:40]  nerdbusta1: I can never get reprogram to work for me
[12:09:52]  nerdbusta1: I only have had success with echo
[12:10:33]  nerdbusta1: @sycocell what time are you going live? I’ll be sure to check it out
[12:10:44]  sycocell: @nerdbusta1 usually live around 1030pm EST
[12:10:57]  sycocell: @Redbeardy_McGee stop promoting you're gonna jinx it NotLikeThis
[12:11:05]  nerdbusta1: Late boy hours Kreygasm
[12:11:44]  sycocell: nah papa and cr8r are way better at the game and way more entertaining than me second guessing every play
[12:11:52]  sycocell: so go watch them lol
[12:11:57]  nerdbusta1: Yeah I’ll probably be around. Doubtful I end up going out somewhere that late
[12:16:26]  sycocell: i too enjoy FTL too  much
[12:18:36]  sycocell: !sr https://www.youtube.com/watch?v=XwVONJ0cytE
[12:18:37]  nightbot: @SycoCell -> "Staff Credits - Super Mario Odyssey OST" by Yoshi's VGM has been added to the queue in position #2
[12:18:52]  sycocell: ^ there's one i can't get on spotify that i want in my playlist
[12:19:17]  sycocell: !sr https://www.youtube.com/watch?v=2sIrzZ_gNZA
[12:19:17]  nightbot: @SycoCell -> "Mega Man 2 Medley - Super Smash Bros. Ultimate" by Video Games Music has been added to the queue in position #3
[12:32:27]  leprochauninja: you're not excused
[12:33:13]  leprochauninja: you can only be excused once the heart dies
[12:33:59]  leprochauninja: apparitions sure do a lot here
[12:34:39]  leprochauninja: these byrds are gamers
[12:35:05]  sycocell: !sr https://www.youtube.com/watch?v=8NsYsDtRZ_o
[12:35:06]  nightbot: @SycoCell -> "Monster Army - The Legend of Zelda: Tears of the Kingdom OST" by Slash has been added to the queue in position #2
[12:39:06]  leprochauninja: do you have lethal next turn?
[12:39:12]  leprochauninja: if you don't play anything
[12:40:26]  leprochauninja: It'd be nice to have one upgraded at least
[12:40:31]  leprochauninja: just for holo
[12:42:40]  leprochauninja: it does
[12:42:55]  leprochauninja: collar too
[12:45:46]  leprochauninja: why do you keep saying no in german?
[12:49:58]  leprochauninja: wowee 4 energy
[12:50:26]  nerdbusta1: they really should have made a separate background for the colosseum event
[12:50:36]  leprochauninja: we can mod it
[12:51:18]  nerdbusta1: Laughs in uncultured swine who can’t code
[12:51:21]  nerdbusta1: Sadge
[12:51:56]  leprochauninja: hmm
[12:51:59]  sycocell: well that was worth it
[12:52:00]  leprochauninja: cheat
[12:52:06]  nerdbusta1: !cwbgh
[12:52:08]  leprochauninja: run is over
[12:52:19]  leprochauninja: heart is already dead
[12:55:23]  nerdbusta1: seekingamid
[13:01:04]  leprochauninja: it doesn't matter that it comes upgraded
[13:01:10]  leprochauninja: don't let the green bait you
[13:03:30]  nerdbusta1: why do you feel that you want a ML?
[13:03:39]  nerdbusta1: I’m a bad judge at when I would want it
[13:20:10]  sycocell: gg!
[13:24:47]  sycocell: this is a tough choice but it's probalby just the biased
[13:25:10]  sycocell: that last fight against collector - those orbs were crucial in full blocking big hits. same goes for cookin that dark orb against single targets
[13:26:34]  leprochauninja: I mean you have zero upgrade targets
[13:33:46]  leprochauninja: !sr https://www.youtube.com/watch?v=UM--TtkGNa4
[13:33:47]  nightbot: @Leprochauninja -> "Little Dragon - Klapp Klapp" by LittleDragonVEVO has been added to the queue in position #2
[13:40:35]  leprochauninja: !sr https://www.youtube.com/watch?v=Er6N5p_Z5Gg
[13:40:35]  nightbot: @Leprochauninja -> "Yebba - One More Smile (Live at Electric Lady)" by Yebba has been added to the queue in position #2
[13:49:16]  tubbiekim: !Sr I can't go for that (no can do)
[13:49:17]  nightbot: @tubbiekim -> "I Can't Go for That (No Can Do)" by Hall & Oates - Topic has been added to the queue in position #2
[13:51:23]  leprochauninja: hello hello
[13:51:35]  leprochauninja: who's calling
[13:57:54]  leprochauninja: how can you setup a dark orb? I don't see a setup in your deck
[14:05:36] 4 raiders from a_snail_chosen_at_random have joined!
[14:05:41]  truesque: kill
[14:05:48]  kurol__: How do I oh god
[14:05:53]  a_snail_chosen_at_random: heyho
[14:05:53]  truesque: How do I oh god
[14:06:02]  dr0gulus: pick up snail
[14:06:06]  truesque: pick up snail
[14:06:12]  leprochauninja: !sr https://www.youtube.com/watch?v=SxlW79tDhCA
[14:06:13]  nightbot: @Leprochauninja -> "Wildfire" by HOYO-MiX - Topic has been added to the queue in position #2
[14:06:32]  a_snail_chosen_at_random: wait did i say that kuro
[14:06:41]  a_snail_chosen_at_random: i think i wasn’t there
[14:06:42]  truesque: tempest with bottled lightning?
[14:07:06]  dr0gulus: google.com
[14:07:08]  dr0gulus: ah
[14:07:10]  dr0gulus: hello
[14:07:21]  truesque: google.com
[14:07:21]  dr0gulus: you aren't the search bar
