# Start logging at 2023-07-30 12:47:16 CDT
[12:47:16] connected
[12:47:17] Message history service recovering, there may be gaps in the message history.
[12:50:46] Redbeardy_McGee is live!
[12:52:07]  captainfalcum: 2020Gift
[13:59:21]  sparklecrotchthottie: ill try my bestest mori @moribund
[14:02:47]  sparklecrotchthottie: !sr  youtube.com/watch?v=cWc7vYjgnTs
[14:02:48]  nightbot: @SparkleCrotchThottie -> "Luciano Pavarotti sings "Nessun dorma" from Turandot (The Three Tenors in Concert 1994)" by Warner Classics has been added to the queue in position #1
[14:05:31]  sparklecrotchthottie: mamma mia
[14:07:23]  dawalhs: got to love those pipes on Pavarotti
[14:08:19]  leprochauninja: bronze automaton has some pipes too
[14:09:45]  dawalhs: nice nunchuk optimisation
[14:09:53]  dawalhs: and you are try harding to min max
[14:09:58]  dawalhs: *sren't
[14:10:01]  dawalhs: aren't
[14:10:33]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=5Fee_nflX0U
[14:10:34]  nightbot: @SparkleCrotchThottie -> "It Doesn't Matter Anymore (with The Royal Philharmonic Orchestra)" by Elvis & Buddy Fan has been added to the queue in position #1
[14:12:38]  sparklecrotchthottie: idanDance idanDance idanDance idanDance idanDance idanDance idanDance idanDance idanDance idanDance idanDance idanDance
[14:13:25]  sparklecrotchthottie: ive always known the name buddy holly now all i see is bUDDAYYYYY hoLY : l
[14:14:14]  sparklecrotchthottie: LUL
[14:17:32]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=LR3GQfryp9M
[14:17:32]  nightbot: @SparkleCrotchThottie -> "Mac Miller - Dang! (feat. Anderson .Paak)" by Mac Miller has been added to the queue in position #1
[14:22:11]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=msY0ehHwHI8
[14:22:11]  nightbot: @SparkleCrotchThottie -> "FREDDIE DREDD - Shut Up feat. LIL TOE & LLUSION (Lyrics)" by PURRP has been added to the queue in position #1
[14:23:12]  glint0: Hi readbeardy. I hope you have a pleasant day with only good bowel movements
[14:23:15]  glint0: red*
[14:24:12]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=DQjSkKcvadA
[14:24:12]  nightbot: @SparkleCrotchThottie -> "WHO U FOOLIN" by Tommy Richman - Topic has been added to the queue in position #1
[14:24:47]  leprochauninja: I know that correction is meant to correct read to red, but it's really funny having it correct good to red
[14:24:59]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=e46ok7S5cXI
[14:24:59]  nightbot: @SparkleCrotchThottie -> "Don't Wanna Fall In Love" by KYLE - Topic has been added to the queue in position #2
[14:25:27]  glint0: this deck just needs 5-10 more wounds
[14:26:01]  glint0: @leprochauninja monkaS
[14:27:42]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=WovPSTAJIVU
[14:27:42]  nightbot: @SparkleCrotchThottie -> "Savant - Prototype" by Wobblecraft has been added to the queue in position #2
[14:27:48]  sparklecrotchthottie: ^pure defecc vibes
[14:28:02]  glint0: I love wacky defect decks like this one you got yourself here
[14:28:43]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=w2ENXD0VjYA
[14:28:43]  nightbot: @SparkleCrotchThottie -> "Asha Imuno - ZIG ZAGGING (Official Music Video)" by Asha Imuno has been added to the queue in position #2
[14:30:04]  sparklecrotchthottie: exwife song
[14:30:09]  sparklecrotchthottie: dont wanna fall in love with this binch
[14:30:31]  glint0: kil
[14:30:55]  sparklecrotchthottie: BOBTLE DECC
[14:31:17]  glint0: Skim+ bottled is so pog
[14:31:44]  sparklecrotchthottie: do you think theres a dream cather play here
[14:31:45]  sparklecrotchthottie: LUL
[14:31:57]  glint0: Why do we have tiny house and no pyramid
[14:32:00]  glint0: seems suboptimal
[14:32:13]  glint0: meat off the bone
[14:33:39]  glint0: Don't you just love bottom deck aggregates
[14:33:43]  leprochauninja: beardy is a tiny house supremacist
[14:34:11]  glint0: This is the SMARTEST giant head I've ever seen
[14:36:29]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=pVgmYNA8J1k
[14:36:30]  nightbot: @SparkleCrotchThottie -> "6LACK - Since I Have A Lover [Official Music Video]" by 6LACKVEVO has been added to the queue in position #2
[14:40:51]  glint0: INFINITE
[14:42:28]  ithilsir: hey Beardy , how's life treating you   ?
[14:50:55]  sycocell: hey beardy
[14:51:19]  sycocell: omg i see a tiny house on the screen
[14:54:05]  sycocell: i left off at spire elites. will finish tonight.
[14:54:19]  sycocell: oh no we're 100% dead to heart
[14:54:26]  sycocell: but it's been fun
[14:56:33]  enkidu2: ooh, is it time for one of my 5 donations to the Trevor Project already?
[14:58:15] enkidu2: Donated USD 5 to support The Trevor Project
[14:59:08]  leprochauninja: beardy missing dono
[14:59:23]  leprochauninja: what a bad streamer
[14:59:29]  enkidu2: Its all good, I do it for the charity and I love when spire streamers support good causes
[14:59:52]  enkidu2: I know baalor usually runs one as well, and I'll always donate when it comes up
[15:00:19]  leprochauninja: only people who kill repto deserve a bio break
[15:10:19]  royfoy101: !pronouns
[15:10:20]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[15:10:43]  royfoy101: This RGB?
[15:11:06]  sycocell: rip
[15:13:32] 2 raiders from disappointedpotaaht have joined!
[15:13:55]  disappointedpotaaht: heloo how are you?
[15:14:03]  disappointedpotaaht: long time no see
[15:14:18]  disappointedpotaaht: I was away last week how are you?!
[15:14:41]  dawalhs: mmmm sandwich
[15:15:01]  disappointedpotaaht: Well tonight I did not ascend, but since the last time I was around your stream I ascended watcher until 17 lvl
[15:15:15]  enkidu2: bro, why does a sub sandwich sound so good right now?
[15:15:20]  firstdane: oh god im about to beard
[15:15:30]  enkidu2: ohheydane
[15:15:49]  firstdane: not anymore mang
[15:15:50]  enkidu2: I feel like I havent caught a Dane stream in a hot minute
[15:15:55]  firstdane: @enkidu2 HeyGuys
[15:16:32]  disappointedpotaaht: thank you, tho ironcland is 13 silent 15 and defect aslo 13, so I am not advanced everywhere
[15:16:44]  dawalhs: i quit bread/gluten, so sandwiches are now a super rare thing. have to get special bread that tastes like chemical crap. so i've opted out for the moment. hope technology will sort it out, like they did vegan icecream, which is awesome
[15:17:31]  enkidu2: @DawalHS I'm so sorry brother, I went low sugar so I feel your pain. Bread is a treat for me now too
[15:18:43]  dawalhs: thanks for the kind words @enkidu2 . i had to quite bread, pasta and beer. and man, those are some of my favourite things
[15:20:31]  moneymoneyloot: bearding
[15:20:33]  moneymoneyloot: dawal is here
[15:20:34]  moneymoneyloot: poggers
[15:20:48]  firstdane: moneyJAM
[15:20:50]  dawalhs: hey money <3
[15:22:26]  enkidu2: get absolutely swole?
[15:29:06]  enkidu2: ez money
[15:32:13]  captainfalcum: moneym59JAM
[15:35:24]  enkidu2: Why is there a singing bowl, but not a dancing bowl?
[15:35:36]  moribund: PotFriend
[15:35:40]  moribund: ^ this
[15:36:11]  enkidu2: Dancing bowl is the opposite of gyra: dance at rest sites for one dex.
[15:36:45]  enkidu2: I mean...........
[15:36:48]  firstdane: UNREAL
[15:37:30]  enkidu2: dont forget w. beast
[15:37:34]  enkidu2: save some hp
[15:39:33]  enkidu2: we're pervs...
[15:40:01]  enkidu2: this is shaping up to be a fairly bestly IC run
[15:42:06]  enkidu2: sundial and pommel and infinite?
[15:43:22]  enkidu2: baalorNo
[15:44:23]  moneymoneyloot: firepot+ PogChamp
[15:45:09]  enriqueque: You murderer!
[15:45:51]  hubba_the_bubba: Just need the dummy
[15:47:53]  enriqueque: I request you evaluate how cute the cow is
[15:47:53]  enkidu2: I'm already here?
[15:48:26]  hubba_the_bubba: Mooooo
[15:48:41]  enriqueque: Mu
[15:48:54]  paparatto18: nobbers
[15:48:59]  enriqueque: Excuse me, "Muuu~"
[15:49:05]  moneymoneyloot: akabeko bobble mod plz
[15:49:33]  enkidu2: Is every streamer here? Hey guys
[15:49:47]  hubba_the_bubba: Ofc
[15:50:01]  moneymoneyloot: im bearding
[15:50:21]  moneymoneyloot: @amouranth sup babe
[15:50:25]  paparatto18: amid
[15:51:00]  enkidu2: She busy playing some game called hot tubs and pools
[15:51:16]  enkidu2: I always want to know what that game is but I'm too busy watching spire
[15:51:22]  moneymoneyloot: my queen
[15:51:28] disappointedpotaaht: Donated USD 15 to support The Trevor Project
[15:51:44]  moneymoneyloot: pogg
[15:52:27]  enkidu2: Good cause, good stream, good chat? Its a good day
[15:52:29]  moneymoneyloot: what is damage
[15:52:48]  disappointedpotaaht: Don't think you are special! I donate to the Trevor project also at other streams! I am a donation whore!
[15:53:00]  disappointedpotaaht: especially when I am tipsy
[15:53:09]  disappointedpotaaht: which I am right now!
[15:53:31]  disappointedpotaaht: I like spending my money on people who really need it
[15:54:00]  disappointedpotaaht: yeah I drank ciders, I am like 6 ciders in
[15:54:12]  enkidu2: @disappointedpotaaht wheres the invite tho?
[15:54:37]  paparatto18: can i hav a cider
[15:55:11]  enkidu2: I too would enjoy a cider. I have a bottle of soju and hard alcohol. That's it
[15:55:17]  disappointedpotaaht: @enkidu2 wanna drink with me at same time or at same place because I would rather not doc myself hahah
[15:55:34]  enkidu2: @disappointedpotaaht Lemme catch up haha
[15:55:43]  paparatto18: so
[15:55:49]  paparatto18: i was just offered 2 wlp+ in a row
[15:55:51]  paparatto18: with hammer
[15:56:22]  disappointedpotaaht: @enkidu2 you say that, I have to go to bed in like two hours so, the race is on, I just opened a beer
[15:57:16]  enkidu2: @disappointedpotaaht I just got a brand new bottle of Tequila only avail in mexico, so I guess I'll just have to catch up by %
[15:58:25]  disappointedpotaaht: oh that sounds like a very nice thing
[15:58:58]  disappointedpotaaht: I hope you combine enjoying it with catching up
[15:59:14]  disappointedpotaaht: I dont want you to down stuff for the sake of it!!!
[15:59:34]  paparatto18: hoooooooooooly
[15:59:41]  paparatto18: ii just took pbox with bloody idol fish
[15:59:44]  enkidu2: Yessir! I'm a slow sipper so realistically I can't catch up, but I still raise my glass to you from afar!
[16:00:23]  disappointedpotaaht: nice I cheers to you! PowerUpL disapp22Cute
[16:00:26]  moneymoneyloot: @paparatto18 pog
[16:01:12]  moneymoneyloot: ggez
[16:01:44]  moneymoneyloot: just rip corruption vs 400 hp champ not a broken card at all
[16:02:40]  disappointedpotaaht: @enkidu2 do you sip the tequila neat? do you snack a gherkin from time to time? do you have some bread with salted butter? this are very eastern european ways to drink and snack or are you just sippind (also very legit)
[16:03:07]  disappointedpotaaht: Some people might also have some tatar
[16:03:22]  disappointedpotaaht: my dad loves tartar so much!
[16:03:28]  disappointedpotaaht: together with his vodka
[16:04:12]  disappointedpotaaht: like they would eat a tartar with egg and some slaw and during snacking just decimate the whole bottle
[16:05:03]  disappointedpotaaht: feeed is the move my dad and his friends do on the tartar so they dont die of vodka the endboss
[16:05:26]  enkidu2: I'm just a slow sipper neat. I would like snacks and pairings, but that requires preparation or having food in my fridge
[16:06:54]  moneybee0: !pronouns
[16:06:54]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[16:07:04]  moneybee0: HeyGuys
[16:07:36]  enriqueque: !songlist
[16:07:36]  nightbot: @Enriqueque -> The song list for this channel is available at https://nightbot.tv/t/redbeardy_mcgee/song_requests
[16:07:38]  moneymoneyloot: monkaS
[16:07:44]  moneymoneyloot: thought i was getting scolded
[16:07:49]  moneybee0: doing great thanks
[16:07:57]  moneybee0: I stole money's name
[16:07:59]  firstdane: scared money dont make none
[16:10:25]  firstdane: are you doing the auto ads?
[16:10:49]  disappointedpotaaht: @enkidu2 well traditionally I usually drink vodka in drinks, because most people see vodka as a shot but depending on how big the glass is and how comfortable you are you can down it or sipp it
[16:11:17]  moneymoneyloot: ads cringe
[16:11:42]  disappointedpotaaht: Yea I do the same thing I try to put on adds somewhere in the middle, just to keep pre-roll ads off as well
[16:11:47]  enriqueque: !sr https://www.youtube.com/watch?v=oPhFjFl8-XU
[16:13:10]  firstdane: i personally never mess with the ads
[16:13:17]  firstdane: 1 preroll isnt as bad as x ads per hour
[16:13:17]  disappointedpotaaht: no, it depends on when the people join, and twitch kind od try to show them in a spaced out way
[16:13:33]  disappointedpotaaht: but it might not be the intervall you have chosen
[16:13:35]  disappointedpotaaht: so
[16:13:47]  disappointedpotaaht: yeah I agree, makes it harder
[16:14:06]  enriqueque: It's kinda dumb that smaller channels get hit with preroll ads
[16:14:14]  firstdane: not that many people show up to my streams anymore so i dont want them to get spammed
[16:15:06]  firstdane: for sure all these streaming/video platforms are losing cash like crazy
[16:15:23]  enkidu2: I never see your streams anymore Dane. I think you tend to stream when i'm at work so I think I miss a lot of them
[16:15:34]  disappointedpotaaht: @enriqueque unless that streamer had hit their viewers with ads, so you either get left behind because of pre roll add, or you get left mid stream, because you try to run an ad so pre roll is off
[16:17:58]  firstdane: @enkidu2 all good i dont have the kind time that i used to when i was streaming spire all the time anyway
[16:19:58] 3 raiders from dr0gulus have joined!
[16:20:12]  truesque: dr0g has to go
[16:20:13]  truesque: WIDESADGE
[16:20:23]  firstdane: doc ogulus
[16:20:37]  dr0gulus: do non affiliate streams get ads?
[16:21:06]  enriqueque: !sr https://www.youtube.com/watch?v=6QP-c2n8cyc
[16:21:07]  nightbot: @Enriqueque -> "Naughty Professor feat. Cole DeGenova ~ Mirrors" by Naughty Professor has been added to the queue in position #1
[16:21:28]  truesque: good :D
[16:21:55]  dr0gulus: we are co-oping from software's hardest game
[16:22:17]  duncanarchib: richbeardy mcgee
[16:22:33]  truesque: The Adventures of Cookie and Cream
[16:22:38]  dr0gulus: The Adventures of Cookie and Cream
[16:22:46]  butts___mcgee: greetings beardy
[16:23:14]  butts___mcgee: LUL
[16:23:15]  enkidu2: Anyone else going to go nuts on BG3 this week?
[16:23:36]  butts___mcgee: !pronouns
[16:23:36]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[16:23:46]  firstdane: BG3 cant come fast enough
[16:23:50]  firstdane: i wish i could sleep until thursday
[16:24:00]  enkidu2: I've been EA since day 1 so my body is READY
[16:24:08]  butts___mcgee: I still need to play octopath 2, ff16, and sea of stars is hitting soon
[16:24:10]  butts___mcgee: Too much
[16:24:18]  firstdane: 4 player coop
[16:24:33]  enriqueque: Sneezy McGee
[16:24:46]  firstdane: the 7 mcgees
[16:24:55]  firstdane: butts, beardy, sneezy, i could go on
[16:24:59]  dr0gulus: i am playing Sakuna of Rice and Ruin
[16:25:01]  enriqueque: This was the request
[16:25:04]  dr0gulus: it is a 10/10 game
[16:25:04]  enriqueque: Yeppers
[16:25:06]  dr0gulus: like most games
[16:25:17]  enriqueque: Same song, different link
[16:25:26]  enkidu2: well, I had about 2 fingers of Tequila so its nap time. GL Beardy, catch ya'll later haha
[16:25:31]  enriqueque: This is the music video version of the youtube link
[16:26:15]  enriqueque: Shoppers rejoice
[16:26:51]  duncanarchib: wheel of shiv
[16:26:57]  butts___mcgee: Never heard of Sakuna but it looks really good
[16:27:22]  dr0gulus: yes its actually good
[16:27:25]  dr0gulus: in my opinion
[16:27:37]  firstdane: inferior floor combat
[16:28:17]  disappointedpotaaht: spaghetti monster DIE
[16:29:07]  butts___mcgee: I have such hatred for this fight
[16:29:25]  butts___mcgee: There’s something about this fight and darklings that just triggers me
[16:31:32]  firstdane: this fight and time eater prevent me from ever wanting to play spire again
[16:31:46]  butts___mcgee: Yeah time eater is so disgusting on every level
[16:32:00]  butts___mcgee: Just a morally reprehensible boss
[16:32:17]  butts___mcgee: Like did they really need to give it Draw Down
[16:33:57]  butts___mcgee: I got so confused when we drew after battle trance, just realized we have souvenir LUL
[16:34:33]  truesque: battle trance should have the order of effects reversed
[16:35:05]  enriqueque: @truesque You think it should disable the ability to draw cards and then try and draw 3 cards?
[16:35:16]  truesque: yes :D
[16:35:21]  dr0gulus: dr1g fell asleep instantly in his bouncer
[16:35:21]  butts___mcgee: LUL
[16:35:26]  dr0gulus: exhausted from the gaming
[16:35:32]  truesque: goodnight dr1g
[16:36:10]  truesque: how many people can from memory remember exactly how the maw spells RRRooorRGh
[16:36:14]  truesque: does anybody know
[16:36:52]  butts___mcgee: It’s crazy how ironclad doesn’t even really need anything special if it has corruption/embrace happening
[16:37:05]  butts___mcgee: just like, pick your way to win at that point
[16:38:18]  butts___mcgee: More pommels Pog
[16:39:22]  disappointedpotaaht: I have to go to bed now, unfortunately I have to do very calm customer service disapp22Cute
[16:39:41]  disappointedpotaaht: seee ya next time when I have more time with less obligations next day
[16:40:12]  disappointedpotaaht: hope to lear more soooooon
[16:40:20]  disappointedpotaaht: have a nice evening!
[16:40:33]  disappointedpotaaht: good night PowerUpL disapp22Cute PowerUpR
[16:43:15]  leprochauninja: cringefinite
[16:44:22]  leprochauninja: I think I would have rather had nunchuck on 9 than sundial on 2
[16:44:58]  leprochauninja: was twin strike not lethal?
[16:45:04]  leprochauninja: I guess it wasn't vuln
[16:45:09]  leprochauninja: so it was only 20
[16:45:18]  leprochauninja: oh
[16:45:31]  leprochauninja: twin strike should have been lethal then
[16:48:55]  leprochauninja: Time Eather(classic Ver.)
[16:49:48]  leprochauninja: raid cheg0
[16:49:57]  enriqueque: GG's
[16:50:01]  truesque: gg
[16:50:12]  leprochauninja: good try
[16:50:25]  leprochauninja: you did see the homies
[16:51:02]  leprochauninja: ayo feugo cheg0
[16:51:10]  sycocell: i'm a raider smile
[16:51:46] Redbeardy_McGee is now offline.
