# Start logging at 2023-08-03 08:55:58 CDT
[08:55:58] connected
[09:05:58] Redbeardy_McGee is live!
[09:05:58] 22 raiders from justzul have joined!
[09:06:00]  bunhara: go live
[09:49:04]  truesque: do not lose power
[09:49:04]  truesque: :D
[09:49:07]  dr0gulus: we also have storm
[09:49:13]  dr0gulus: and i KNOW we are in the same state
[09:49:15]  dr0gulus: i think
[09:49:16]  truesque: beardy lives in the apartment above you
[09:49:28]  bunhara: when is the beardy drog live co op
[09:49:35]  truesque: holy
[09:49:39]  bunhara: drog has a car
[09:49:41]  bunhara: and a son
[09:49:41]  dr0gulus: tomorrow
[09:49:54]  truesque: beardy is the son
[09:50:02]  bunhara: does dr1g know how to drive yet
[09:50:12]  dr0gulus: he has two sets of keys
[09:50:15]  dr0gulus: so probably
[09:50:26]  moribund: WIDECATJAM
[09:50:27]  nightbot: WARNING: This emote is unlisted. Either it hasn't yet been confirmed by a moderator, or the moderation team chose not to confirm this emote. As a result, we cannot guarantee it is safe to show on a livestream.
[09:50:29]  truesque: does golden idol affect the gold from this if you get it before the fight?
[09:50:31]  bunhara: he can chauffeur you
[09:50:37]  dr0gulus: and we watched the first two fast and furious movies with him
[09:50:39]  dr0gulus: so definitely yes
[09:51:00]  bunhara: @dr0gulus ah so he's a visual learner
[09:51:07]  truesque: dr1g needs to drive to the butterfly and flower factory every day
[09:51:20]  moribund: you can't just let the pant stealers go
[09:51:22]  bunhara: can you draw him a flow chart of the hexaghost fight so he memorizes the entire 9 turn cycle
[09:51:50]  bunhara: this is the no tengo pantalone event
[09:52:03]  bunhara: !sr salsa calliente meridian brothers
[09:52:04]  nightbot: @Bunhara -> "Meridian Brothers - Salsa Caliente" by Soundway Records has been added to the queue in position #1
[09:52:07]  dr0gulus: so true
[09:52:20]  truesque: worth though?
[09:52:39]  bunhara: @dr0gulus theres a gaming baby on tiktok. dr1g has competition
[09:52:43]  bunhara: be warned
[09:52:53]  dr0gulus: @bunhara not for long
[09:52:59]  bunhara: monkaS
[09:53:10]  truesque: turn 1 combust strike strike
[09:53:14]  truesque: turn 2 flame barrier defend body slam
[09:53:16]  truesque: kil
[09:53:26]  truesque: take 13 and get out ez
[09:53:30]  truesque: okay more from combust
[09:53:42]  truesque: get taxed for 15 more
[09:53:59]  bunhara: what if the reloc is runic cube so the combust becomes negative
[09:54:09]  truesque: do NOT draw ascenders bane without also drawing the flame barrier
[09:54:48]  bunhara: alienPls
[09:55:02]  truesque: I think you can take 20-30 with good draw order
[09:55:09]  truesque: or maybe die c:
[09:55:17]  bunhara: beardy hates cards
[09:55:47]  truesque: it's rough
[09:55:51]  truesque: with no botion
[09:56:08]  dr0gulus: your p flipped upside down
[09:56:12]  bunhara: what about consoling?
[09:56:14]  truesque: and barricade will own later surely
[09:56:16]  truesque: just live
[09:56:21]  truesque: 0 elita
[09:56:32]  dr0gulus: luckily we got a relic this act already
[09:56:35]  truesque: true
[09:56:42]  bunhara: we shouldve keyed the idol
[09:57:03]  its_goddy: what kind of run did i just walk into here?  this is a hilarious deck
[09:57:22]  truesque: what would lifecoach do
[09:57:29]  its_goddy: i appreciate seeing that you are leaning into it
[09:57:32]  truesque: click click click
[09:58:08]  its_goddy: body slam was a classy take
[09:58:18]  its_goddy: a lesser streamer would have removed barricade
[09:59:00]  dr0gulus: luckily Redgigachad would never
[09:59:12]  truesque: if you die you get to start a better run
[10:00:07]  truesque: yeah I was thinking if you leave this fight on 10 and heal to 16 how much are you really dying to the advanced hallway
[10:00:11]  truesque: is it even advanced hallway?
[10:00:21]  dr0gulus: its a burning elite
[10:00:23]  dr0gulus: next
[10:00:25]  truesque: holy
[10:00:39]  dr0gulus: its highlighted
[10:00:39]  truesque: not too likely to die I don't think
[10:00:44]  truesque: especially with a potion
[10:00:46]  truesque: which surely comes
[10:00:52]  dr0gulus: AND a relic
[10:00:55]  dr0gulus: AND a card
[10:00:57]  truesque: but then its like rest and take 3 more advanced?
[10:01:00]  dr0gulus: AND gold
[10:01:01]  bunhara: who the fuck is shirley
[10:01:09]  truesque: I think dying from 41 is pretty unlikely
[10:01:26]  muirthemne: brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance brioBounce DinoDance
[10:01:33]  bunhara: muir
[10:01:46]  muirthemne: DinoDance bun
[10:01:59]  muirthemne: brioBounce DinoDance truesque
[10:02:09]  muirthemne: brioBounce dr0g
[10:02:12]  truesque: muir hellof5Flowaaa
[10:03:12]  truesque: the right path though
[10:03:14]  truesque: if you dont take this
[10:03:21]  truesque: still sucks
[10:03:32]  muirthemne: every time FrankerCool
[10:03:46]  truesque: 4 fights and an elite and no more fire
[10:03:52]  bunhara: we couldve had 2 p strikes but we transformed both strikes dkShame
[10:04:00]  truesque: that's not much better than taking this and going to the fire and resting
[10:04:06]  bunhara: yeag
[10:04:08]  truesque: and sometimes you take this and can go left somehow maybe
[10:04:23]  truesque: if you get free relic and potion possibly
[10:04:47]  bunhara: !sr america has a problem beyonce
[10:04:48]  nightbot: @Bunhara -> "Beyoncé - AMERICA HAS A PROBLEM (Feat. Kendrick Lamar) - (Official Lyric Video)" by Beyoncé has been added to the queue in position #1
[10:05:07]  truesque: if you fight this sentries and got to the fire and rest though it doesn't seem much worse than skipping and going right and taking 4 fights and 1 elite
[10:05:17]  truesque: this way you are taking the elite earlier but get to go to a fire
[10:05:27]  sycocell: redbeardy on red character Pog
[10:05:32]  bunhara: get nothingd
[10:05:34]  truesque: believe
[10:05:36]  bunhara: click it again
[10:05:47]  truesque: I'm invested in this sentries fight now
[10:05:49]  dr0gulus: sicko PogChamp
[10:05:55]  sycocell: hey dr0g!
[10:06:25]  bunhara: !sr s&m rihanna
[10:06:26]  nightbot: @Bunhara -> "Rihanna - S&M (Audio)" by RihannaForVEVO has been added to the queue in position #2
[10:06:37]  truesque: why is the text box so wide
[10:06:55]  dr0gulus: whate if your baby poops
[10:07:00]  truesque: then you remember that you thought about the draw orders in the fights for 20 minutes
[10:07:02]  truesque: so you remember what it is
[10:07:30]  truesque: monkaS
[10:07:40]  dr0gulus: monkaS
[10:07:51]  truesque: shouting instructions over the fence
[10:07:54]  tubbiekim: It's the elites yard probably
[10:07:55]  truesque: HIT EM
[10:07:56]  truesque: DO THE SPIN MOVE
[10:08:02]  truesque: LIGHT YOURSELF ON FIRE
[10:08:11]  dr0gulus: when you die, the ironclad should turn to face you and say nice one idiot
[10:08:29]  bunhara: ironclad if it was a AAA title
[10:08:40]  dr0gulus: we need quips mod
[10:08:52]  dr0gulus: add hundreds of quips to each character
[10:08:52]  muirthemne: ^^
[10:09:02]  dr0gulus: quips
[10:09:02]  truesque: kil
[10:09:03]  truesque: kill
[10:09:08]  dr0gulus: what a ffucked up word
[10:09:11]  dr0gulus: quips
[10:09:15]  theyarejo: Combust is the only reason I’d even consider it
[10:09:16]  truesque: quips is a great word
[10:09:27]  bunhara: quip is short for cool hwip
[10:09:39]  dr0gulus: it is an anagram of squid at least
[10:09:48]  dr0gulus: if you rotate the p 180degrees
[10:09:55]  truesque: holy
[10:10:10]  bunhara: what if you rotate the p 360 degrees
[10:10:14]  bunhara: to round it up
[10:10:19]  dr0gulus: then walk away
[10:10:27]  bunhara: :(
[10:10:27]  muirthemne: @bunhara it hurts when i do that
[10:10:31]  truesque: monkaS
[10:10:33]  dr0gulus: monkaS
[10:10:39]  bunhara: @muirthemne skill issue
[10:10:49]  muirthemne: Sadge
[10:10:58]  bunhara: click the fucking button, beard
[10:11:00]  bunhara: do it
[10:11:05]  truesque: you are caught off guard!
[10:11:06]  truesque: hooly
[10:11:07]  truesque: iron wave
[10:11:08]  muirthemne: Jebasted
[10:11:11]  truesque: literally an iron wave
[10:11:28]  muirthemne: -1 card draw iron wave
[10:11:37]  dr0gulus: flame barrier does up to 12 damage if they all decide to attack
[10:11:44]  truesque: holy
[10:11:49]  truesque: ancient sentries would be so much easier then
[10:11:57]  dr0gulus: true
[10:12:30]  truesque: LIGHT YOURSELF ON FIRE
[10:13:18]  bunhara: runic cube + combust would get us past these dazes way faster
[10:13:53]  bunhara: de flame barrier mahn
[10:14:08]  truesque: combust is already killing the thing?
[10:14:09]  truesque: yeah
[10:14:16]  firstdane: PepoG
[10:14:40]  dr0gulus: combust is so op
[10:16:52]  truesque: tax
[10:16:56]  truesque: found the 30
[10:17:37]  firstdane: monakS
[10:18:01]  truesque: never didn't have it
[10:18:03]  truesque: eg
[10:18:03]  firstdane: DEGG
[10:18:07]  truesque: card rewards
[10:18:09]  truesque: wow
[10:18:15]  badterence: first elite dead adventurer?
[10:18:16]  truesque: surely we can take burning now
[10:18:29]  badterence: LUL
[10:18:48]  dr0gulus: luckily the burning elite cant be sentries
[10:18:56]  badterence: 😏
[10:19:51]  muirthemne: 😼
[10:20:37]  badterence: boomerang straight back to neow
[10:21:00]  muirthemne: gefafaZelderp
[10:21:46]  firstdane: video games set unrealistic expectations for boomerangs in real life
[10:22:08]  muirthemne: monkaS
[10:22:29]  firstdane: anyone can throw a boomerang
[10:22:32]  firstdane: getting it to come back is the hard part
[10:22:38]  sycocell: my version of that is i've never flown a kite
[10:22:48]  firstdane: no Sadge
[10:23:15]  tubbiekim: Same, I don't understand how kites are able to just fly
[10:23:25]  dr0gulus: Lift
[10:23:34]  truesque: I don't like flying kites
[10:23:38]  truesque: it's too stressful
[10:24:15]  captainfalcum: any kite enjoyers
[10:24:20]  captainfalcum: giga chad
[10:24:25]  truesque: I'm afraid i'll let go and lose it
[10:24:31]  truesque: and it just pulls the whole time
[10:24:34]  truesque: I don't mind the nose dive
[10:24:36]  truesque: that part is fun
[10:24:53]  dr0gulus: the worst part about flying a kite is the other guy flying a cooler kite than you
[10:25:03]  captainfalcum: How do we beat max hp the heart
[10:25:07]  captainfalcum: It was 800
[10:25:14]  truesque: I like the putting it into a dive and pulling it back out
[10:26:01]  truesque: seeing places with tons of cool kites is really fun
[10:26:35]  truesque: went to like a kite festival on some of the outer banks a few years ago
[10:27:02]  truesque: storm will invalidate the run WIDESADGE
[10:27:26]  muirthemne: monkaS
[10:28:16]  dr0gulus: @truesque please do not spoil the outer banks
[10:29:27]  truesque: hellof5Giggle
[10:32:25]  edlittle: hello there
[10:32:41]  edlittle: lmao
[10:32:48]  dr0gulus: Ed
[10:32:53]  edlittle: dorg
[10:32:55]  dr0gulus: doxxed
[10:32:55]  tubbiekim: Oh ed's big alright
[10:35:29]  edlittle: floor 8 gremlin gang monkaS
[10:35:44]  bunhara: here it comes
[10:36:09]  truesque: according to navegreed you will now win the run every time
[10:36:15]  truesque: because the spire is not competent enough to kill you twice
[10:36:29]  bunhara: plus
[10:36:32]  bunhara: green
[10:36:33]  truesque: angreer
[10:36:35]  bunhara: sentries
[10:36:38]  truesque: angr
[10:36:39]  truesque: angrey
[10:36:44]  edlittle: sentries SOLVED
[10:37:09]  bunhara: it wouldve saved you way more health if you had a fire breathing+ during the event
[10:37:12]  bunhara: just sayin
[10:37:44]  bunhara: exaftly
[10:38:06]  bunhara: are you an angry person
[10:38:12]  bunhara: do you have anger in your heart
[10:38:35]  edlittle: it's meat
[10:38:40]  bunhara: its waffle
[10:38:51]  edlittle: waffle is my favorite chest only relic
[10:40:03]  bunhara: you should get the egg that upgrades the card that you want to click instead of frozen
[10:40:12]  truesque: 15
[10:40:34]  bunhara: monkaS !info is broken
[10:40:43]  edlittle: !info eternal feather
[10:41:00]  truesque: boss relic obtained
[10:41:03]  edlittle: This feather appears to be completely indestructible. What bird does this possibly come from?
[10:41:09]  captainfalcum: !info bunhara
[10:41:45]  truesque: this run promises
[10:41:52]  dr0gulus: Did you mean: bukhara Bunhara (@Bunhara_) / Twitter Twitter https://twitter.com › Bunhara_ 4,433. 43.3K. Bunhara · @Bunhara_. ·. Dec 13, 2022. this lil guy and mabosstiff are some of the best pokemon from gen 9 and the best of the dogs easily.
[10:41:57]  truesque: bukhara
[10:41:59]  bunhara: bukhara
[10:42:13]  dr0gulus: @bunhara_
[10:42:21]  bunhara: i cant access that ccount anymore
[10:42:23]  captainfalcum: buck
[10:42:44]  dr0gulus: Bukhara is an ancient city in the central Asian country of Uzbekistan. It was a prominent stop on the Silk Road trade route between the East and the West, and a major medieval center for Islamic theology and culture. It still contains hundreds of well-preserved mosques, madrassas, bazaars and caravanserais, dating largely from the 9th to the 17th centuries. ― Google Weather: 89°F (32°C), Wind N at 9 mph (14 km/h), 24%
[10:42:51]  truesque: holy
[10:42:54]  dr0gulus: Weather PogChamp
[10:42:54]  truesque: doxxed?
[10:42:55]  bunhara: Uzbekistan
[10:42:58]  muirthemne: !info Ligma
[10:43:05]  truesque: who wants to go to bukhara with me
[10:43:06]  edlittle: Ligma nutz
[10:43:11]  muirthemne: KEKHeim
[10:43:22]  dr0gulus: ligma Meaning | Pop Culture by Dictionary.com Dictionary.com https://www.dictionary.com › pop-culture › ligma Jul 16, 2019 — Ligma is a made-up disease and internet hoax claimed to have killed popular Fortnite video game streamer Ninja. When people not in on the joke ..
[10:43:37]  captainfalcum: !info dr0gulus
[10:43:41]  bunhara: when people not in on the joke ..
[10:43:54]  bunhara: @truesque only if yiu drive the entire way
[10:43:59]  truesque: ok
[10:44:03]  truesque: but then I get to pick the music
[10:44:04]  dr0gulus: dr0gulus Twitch https://www.twitch.tv › dr0gulus dr0gulus streams live on Twitch! Check out their videos, sign up to chat, and join their community. dr0gulus - drogulus Twitter https://twitter.com › dr0gulus GAMER POTLUCK EP. 27!! ... A documentary travelogue through aging and beloved virtual worlds. ... 1. It is with a heavy heart that I have decided to sell my entire ...
[10:44:05]  captainfalcum: !info dr1g BatChest
[10:44:17]  muirthemne: BatChest
[10:44:19]  captainfalcum: dr0gulus Twitch https://www.twitch.tv › dr0gulus dr0gulus streams live on Twitch! Check out their videos, sign up to chat, and join their community. dr0gulus - drogulus Twitter https://twitter.com › dr0gulus GAMER POTLUCK EP. 27!! ... A documentary travelogue through aging and beloved virtual worlds. ... 1. It is with a heavy heart that I have decided to sell my entire ...
[10:44:24]  bunhara: dr0gulus Twitch https://www.twitch.tv › dr0gulus dr0gulus streams live on Twitch! Check out their videos, sign up to chat, and join their community. dr0gulus - drogulus Twitter https://twitter.com › dr0gulus GAMER POTLUCK EP. 27!! ... A documentary travelogue through aging and beloved virtual worlds. ... 1. It is with a heavy heart that I have decided to sell my entire ...
[10:44:45]  dr0gulus: People also ask What does the BatChest emoji mean? Why is BatChest called BatChest?
[10:44:47]  bunhara: sell your entire what
[10:44:55]  dr0gulus: lungs
[10:44:56]  edlittle: weiner
[10:44:57]  truesque: What are the 5 uses of BatChest
[10:45:01]  bunhara: monkaGIGA
[10:45:16]  tubbiekim: !Sr Greta van fleet broken bells
[10:45:17]  nightbot: @tubbiekim -> "Greta Van Fleet - Broken Bells (Audio)" by Greta Van Fleet has been added to the queue in position #1
[10:45:20]  dr0gulus: wow
[10:45:25]  dr0gulus: batchest is just batches
[10:45:28]  dr0gulus: with a t
[10:45:30]  truesque: holy
[10:45:31]  truesque: batches
[10:45:33]  truesque: of bread
[10:45:38]  truesque: I am cooking breakfast
[10:45:41]  truesque: not bread
[10:45:46]  dr0gulus: HOLY
[10:45:51]  apneaa: what are you cooking
[10:45:52]  dr0gulus: Contrasting Late Carboniferous and Late Permian-Middle ... Academia.edu https://www.academia.edu › Contras... DR1G [see (4.2, 9.2) give the age of Archean-Paleopro- rocks and late Paleozoic(?) ... Likely several magma batches early Mesozoic intrusions.
[10:45:56]  bunhara: !sr dancibg fruits
[10:45:56]  truesque: i did have breadfast yesterday
[10:45:56]  nightbot: @Bunhara -> There was an error requesting the song. Error: video too long (10 min max)
[10:45:57]  dr0gulus: DR1G
[10:46:01]  bunhara: DR1G
[10:46:11]  bunhara: dr1g is so old
[10:46:23]  captainfalcum: dr1g o7
[10:46:29]  muirthemne: dr2g when
[10:46:32]  apneaa: i have not had breakfeast
[10:46:39]  apneaa: since i was 19 monkaS
[10:46:40]  truesque: I am just frying some onions and potatoes and things that look good
[10:46:43]  bunhara: go eat breakfast apneaa
[10:46:46]  truesque: @Apneaa monkaS
[10:46:46]  bunhara: shit head
[10:46:50]  truesque: breakfast is just the first meal of the day
[10:46:52]  truesque: whenever that is
[10:46:52]  muirthemne: are you even alive @Apneaa
[10:46:57]  apneaa: i just cant eat in the morning anymore
[10:47:04]  apneaa: i will puke
[10:47:07]  nerdbusta1: oatmeal is gigapog
[10:47:08]  dr0gulus: @Apneaa explain the greedy lifecoach skip every ironclad card phase
[10:47:11]  bunhara: @truesque make ramen please
[10:47:11]  muirthemne: 🤮
[10:47:11]  dr0gulus: for us
[10:47:14]  nerdbusta1: My go to breakfast
[10:47:40]  bunhara: oatmeal is awesomw
[10:47:55]  apneaa: @dr0gulus what is needed to win act1 with clad is extremely minimal, anger is almost an act solve in a non guardian act
[10:48:08]  captainfalcum: !info Lifecoach1988
[10:48:25]  bunhara: !info deathcoach1899
[10:48:30]  edlittle: instantly sad
[10:48:31]  dr0gulus: The History of Life Coaching: It's Origins and Development Life Coaching Professionally https://www.lifecoachingprofessionally.com › history-... It started with Thomas Leonard. The concept and history of life coaching today really starts in the 1980s with Thomas Leonard, an American financial planner.
[10:48:42]  apneaa: xecnar is still on it, the difference is that sometimes xecnar will dodge an early elite to avoid having to take a garbage @dr0gulus
[10:48:45]  bunhara: really starts in the 1980s
[10:48:47]  apneaa: while coach skips
[10:48:50]  bunhara: he is the original
[10:48:51]  apneaa: and goes for the elite anyway
[10:49:02]  dr0gulus: @bunhara monkaS
[10:49:04]  apneaa: encountering an act1 death pretty much every 60-70 runs or so
[10:49:07]  dr0gulus: 69799彡Women Seeking Men _3401122 crashadams.shop crashadams.shop https://taeo19921.crashadams.shop ... parisfury83 est21 bri jiggles47 44 dontbesad12 maeds44 comediante37 45 networker28 deathcoach88 diiirtyfiiirst51 93 designer✂️parsons15 atfornothing22 ...
[10:49:11]  dr0gulus: do NOT click
[10:49:13]  muirthemne: monkaS
[10:49:16]  captainfalcum: Lmao
[10:49:16]  bunhara: DO NOT CLICK
[10:49:19]  muirthemne: !ban dr0g
[10:49:28]  muirthemne: IM GONNA CLICK IT
[10:49:30]  apneaa: beardy theres a malignous bot in your chat
[10:49:31]  muirthemne: YOU CANT MAKE ME
[10:49:46]  edlittle: was barricade neow bonus?
[10:49:50]  captainfalcum: I clicked :)
[10:49:51]  bunhara: yeah
[10:49:55]  bunhara: transform 2
[10:49:58]  bunhara: for gold
[10:50:04]  edlittle: woof
[10:50:20]  dr0gulus: rampage
[10:50:23]  bunhara: rampage damage scaling
[10:52:06]  bunhara: upgrade the wave
[10:53:09]  bunhara: fnp solves act 2 sentry
[10:54:34]  edlittle: fnp solves heart fight
[10:54:54]  truesque: fnp will play a video game
[10:55:00]  truesque: i believe
[10:55:15]  truesque: it WILL game
[10:55:15]  dr0gulus: it is a gamer
[10:55:31]  bunhara: troosk are you russian beardy
[10:55:38]  truesque: I am NOT russian beardy
[10:55:46]  dr0gulus: why
[10:55:56]  truesque: genetic lottery Sadge
[10:55:58]  bunhara: troosk is on the side of ukraine
[10:56:20]  dr0gulus: putinWalk
[10:56:22]  truesque: I wish I were a Bukharan beardy
[10:56:28]  bunhara: putinWalk
[10:56:36]  its_goddy: FNP = part of the pokemon collect them all of ironclad powers
[10:57:39]  bunhara: good question
[10:57:41]  edlittle: exodia
[10:57:57]  edlittle: you will be once you get mummy hand
[10:58:06]  truesque: you will get pyramid
[10:59:02]  bunhara: power through second wind next 2 floors is all im saying
[10:59:32]  truesque: The reference document doesn't say anything about the rarity of the relic
[10:59:33]  muirthemne: get down AND SLAM
[10:59:37]  muirthemne: and welcome to the JAM
[11:01:03]  edlittle: !pronouns
[11:01:03]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[11:02:16]  muirthemne: hey beardy, upgrade this cakeumGun
[11:03:33]  dr0gulus: it is trivial to check the code, so might as well assume we know the answer
[11:03:51]  truesque: oh in the global statistics it says something
