# Start logging at 2023-08-13 09:19:13 CDT
[09:19:13] connected
[09:19:15] Message history service recovering, there may be gaps in the message history.
[09:21:13] Redbeardy_McGee is live!
[09:21:32]  moneymoneyloot: first
[09:50:07]  moneymoneyloot: dkShame nightbot body shaming cheg0
[09:50:15]  kurol__: !sr https://www.youtube.com/watch?v=N8vhIs0GzWU&ab_channel=cheg0
[09:50:15]  nightbot: @KuroL__ -> "Yo" by cheg0 has been added to the queue in position #1
[09:50:25]  kurol__: Cringing
[09:51:26]  kurol__: This song be bopping
[09:53:16]  moneymoneyloot: damn who knew cheg0 had moves
[09:53:29]  moneymoneyloot: why is he sitting around playing spire when he can do that
[09:53:55]  kurol__: No idea
[09:54:14]  kurol__: The guy moves like robot which kinda explain the defect main thing
[09:54:21]  moneymoneyloot: holy
[09:55:04]  moneymoneyloot: playing defect irl
[09:56:02]  moneymoneyloot: funnel Kreygasm
[09:56:33]  moneymoneyloot: exploder every combat at worst Kreygasm
[09:57:28]  moneymoneyloot: i am starting to think blood vial is a bit goated as well but not over funnel
[09:57:44]  moneymoneyloot: health go up is just broken
[09:58:58]  moneymoneyloot: think defant is better turn 2 with weak
[10:00:14]  moneymoneyloot: i like it
[10:00:34]  moneymoneyloot: ded ghost
[10:00:37]  moneymoneyloot: ez
[10:02:04]  rolieland: Hey all :)
[10:02:08]  rolieland: hi carl lol
[10:02:11]  moneymoneyloot: carl
[10:03:16]  moneymoneyloot: stone doable i think
[10:03:26]  moneymoneyloot: weak and wail
[10:03:46]  moneymoneyloot: tain modCheck
[10:04:08]  moneymoneyloot: star not badamid
[10:04:14]  nikoladrummer: star for act 3 :p
[10:04:28]  moneymoneyloot: horning the aoe fights and boinging the book
[10:06:01]  rolieland: are you potentially going for infinite?
[10:06:14]  moneymoneyloot: to many cards for inf
[10:06:21]  moneymoneyloot: with not labe or pbox
[10:08:30]  moneymoneyloot: wraith+ fairly likely speaking for stoneington
[10:09:07]  rolieland: Bark off the table?
[10:09:58]  awpilger: Black star is fun
[10:10:37]  rolieland: 4 energy in every fight is also fun :')
[10:10:40]  awpilger: 2 energy relics and upgraded adrenaline
[10:10:59]  awpilger: Black star works here
[10:11:11]  rolieland: I would argue you have enough energy options to take star or bark
[10:11:31]  rolieland: probably star
[10:11:47]  moneymoneyloot: star is probably doable but 3 energy is somewhat cringe if you want lots of hallways
[10:11:52]  nikoladrummer: star is fine but overall 4 energy is way better
[10:12:02]  moneymoneyloot: avacado 3 energy cringeamid
[10:12:17]  rolieland: Do you feel strong enough to take most elite path act 2?
[10:12:23]  moneymoneyloot: thieves 3 energy cringeamid
[10:12:38]  lostnight512: !pronouns
[10:12:38]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[10:12:52]  rolieland: could have a bad draw with limited card draw
[10:12:55]  lostnight512: howdy bud
[10:13:09]  lostnight512: anything special about this run besides a nice relic bar
[10:13:36]  nikoladrummer: acro is gonna be way better with 4 energy
[10:13:39]  lostnight512: oh nice deck
[10:13:52]  moneymoneyloot: legsweep will be nicer
[10:14:12]  nikoladrummer: can I touch it?
[10:14:17]  lostnight512: What song is this? i hear andrew mcmahon
[10:14:20]  moneymoneyloot: deploying cloud is important rn and hard with 3 energy
[10:14:25]  rolieland: XD
[10:14:27]  redbeardy_mcgee: !song
[10:14:28]  nightbot: @Redbeardy_McGee -> "Andrew McMahon in the Wilderness - Fire Escape (Official Music Video)" by AndrewMcMahonVEVO is the current song. It was requested by Redbeardy_McGee - https://youtu.be/KfU-S6ovooQ
[10:14:40]  nikoladrummer: wait, wail is uncommon D:
[10:14:44]  lostnight512: that man has THREE bands lol hard to find it
[10:15:12]  lostnight512: Something Corporate, Jack's Mannequin, Andrew McMahon as himself as well
[10:15:40]  rolieland: treat yourself, go for the stone :D
[10:15:50]  rolieland: sounds like you want it most
[10:16:09]  nikoladrummer: oh it's common, phew, my world is at peace again
[10:16:48]  nikoladrummer: how are late events in act 2?
[10:17:21]  nikoladrummer: I'm always scared to click on them with no idol
[10:17:49]  firstdane: that 9 hour video is amazing highly recommend
[10:18:00]  rolieland: @firstdane XD
[10:18:19]  rolieland: You can listen to the 9h vid while sleeping and still absorb the knowledge!
[10:19:44]  rolieland: I was thinking about it before it showed up
[10:22:28]  nikoladrummer: I think pot was worth 3hp
[10:22:48]  nikoladrummer: oh no hp is better :p
[10:24:01]  rolieland: upgraded power any you want right now?
[10:24:35]  nikoladrummer: I think tools is amazing, opens all reflex/tacticians
[10:24:52]  rolieland: we cant buy the boot :'(
[10:25:40]  rolieland: ''I have final sun''?
[10:25:50]  moneymoneyloot: funnel
[10:26:17]  rolieland: ah yeah SeemsGood
[10:26:57]  moneymoneyloot: Adge
[10:27:08]  nikoladrummer: I don't see ai, acro looks pretty
[10:27:33]  rolieland: I dont think you will gain a lot of block with AI
[10:30:55]  rolieland: did your cat just move the mouse?
[10:37:52]  nikoladrummer: bottles backstab is worse than one without the relic
[10:37:55]  nikoladrummer: bottled*\
[10:38:25]  nikoladrummer: well that too and you can't remove it in case you want to later, with possible pbox
[10:38:50]  moribund: FeelsBeardMan
[10:40:09]  rolieland: beardy man getting strong
[10:43:54]  moribund: 2020Shred
[10:44:52]  rolieland: Since you play AI turn one now always, would you not like to prog ink bottle turn 2? otherwise you are proging with '3 energy'  so to speak
[10:45:30]  moribund: more likely to trigger bottle again in the same fight if you set it up at 9
[10:45:54]  rolieland: @moribund true
[10:46:32]  moribund: AI+ might mean it's not worth taking damage to fully optimize bottle, maybe
[10:46:44]  moribund: or it makes it less bad, at least
[10:46:47]  rolieland: you squash avocado
[10:47:02]  moribund: but bottle on 9 is still pretty much always optimal
[10:51:04] 236 raiders from Merl61 have joined!
[10:51:15]  moribund: PogChamp
[10:51:16]  issjgohan: thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3 thedue5Raid3
[10:51:30]  moneymoneyloot: raidamid
[10:51:39]  wowitspayday: !pronouns
[10:51:39]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[10:52:19]  wowitspayday: where did that phrase come from? Ive only heard it from a cooking channel on youtube
[10:52:25]  wowitspayday: 'guys gals nonbinary pals;
[10:53:29]  jerry_licious: Does redbeardy stream allow an abacus
[10:53:45]  moneymoneyloot: an
[10:53:53]  moribund: AN!
[10:54:04]  moneymoneyloot: AN!
[10:54:27]  jerry_licious: AN!
[10:54:35]  moneymoneyloot: jerrying
[10:54:45]  jerry_licious: hellof5Blub_HF hellof5Blub
[10:54:51]  rolieland: oeh, tac over catalyst?
[10:54:57]  moribund: indefinite article gang
[10:55:12]  rolieland: why is it hard to take?
[10:55:24]  badterence: Smal card, difficult to click on
[10:55:32]  rolieland: XD
[10:55:36]  moribund: it says unplayable on it
[10:55:37]  moneymoneyloot: terents
[10:55:49]  moneymoneyloot: literally unplayable card
[10:55:57]  rolieland: yeah who put that card here
[10:56:13]  rolieland: another cat is nooo problem id say, I just like tac
[10:56:14]  hubba_the_bubba: Got to sgart discard synergy at some point or u dont get it
[10:56:53]  rolieland: catalyst again also pog
[10:57:03]  moneymoneyloot: kitty cat deck
[10:57:10]  moneymoneyloot: funny combo
[10:57:25]  rolieland: both have incredible synergy with escape plan
[10:57:32]  moneymoneyloot: just funnel cata lol
[10:57:51]  rolieland: catalyst is reliable, agree with carl
[10:58:27]  rolieland: with 3 cata you just take more block
[10:58:34]  moneymoneyloot: making the red bar green Kreygasm
[10:59:26]  moneymoneyloot: wtf is this guy doing
[10:59:30]  rolieland: nuke boss, prog fairy? have the tail also
[11:00:17]  moneymoneyloot: kil
[11:00:22]  rolieland: 63x3 is quick fight
[11:00:27]  ocaml_ocaml: good noon spire gamer
[11:00:58]  ocaml_ocaml: hope you've been doing well lately since I only see you around occasionally now :)
[11:01:27]  moneymoneyloot: 6th catalyst
[11:01:38]  moneymoneyloot: Kappa
[11:01:50]  ocaml_ocaml: LUL
[11:01:55]  rolieland: where to get this green health bar mod? StoneLightning
[11:01:58]  moneymoneyloot: yea mayonnaise looks good
[11:02:23]  ocaml_ocaml: I am doing well, just marathon training through the summer and am therefore usually in desperate need of sleep
[11:02:27]  moneymoneyloot: amidph
[11:03:05]  ocaml_ocaml: endurance running is a regular thing but it's my first time seriously training for a full
[11:03:20]  ocaml_ocaml: yeah
[11:03:37]  moneymoneyloot: !sr funny seal (subtitle)
[11:03:38]  nightbot: @moneymoneyloot -> "Funny Seal *Subtitle*" by I found this: has been added to the queue in position #1
[11:03:44]  ocaml_ocaml: so I am usually just happy to lurk in streams and listen to people talk
[11:04:32]  ocaml_ocaml: i like both
[11:04:46]  rolieland: music secondary for me
[11:04:51]  badterence: I only listen to spire OST
[11:08:22]  moneymoneyloot: mibph
[11:08:24]  rolieland: bless you lol
[11:08:28]  badterence: Strength down archetype
[11:08:36]  rolieland: somebody call an abulance
[11:08:37]  pherecydes: HUH
[11:08:48]  moneymoneyloot: AAAAAAAAAAAAAAAAAAA
[11:08:51]  moneymoneyloot: egg
[11:08:55]  rolieland: AAAAAAaaaaAAAA
[11:09:24]  moneymoneyloot: BRRRGEHHH
[11:09:27]  badterence: !sr i can’t go for that hall and oates
[11:09:28]  nightbot: @BadTerence -> "I Can't Go for That (No Can Do)" by Hall & Oates - Topic has been added to the queue in position #1
[11:10:24]  rolieland: who needs healing nowadays
[11:10:30]  moneymoneyloot: !sr shes gone hall and oates
[11:10:31]  nightbot: @moneymoneyloot -> "Daryl Hall & John Oates - She's Gone (orginal album version) HQ+" by RBsound Holland has been added to the queue in position #2
[11:10:38]  moneymoneyloot: she gone dkShame
[11:10:39]  tubbiekim: !Sr I can't tell you why the eagles
[11:10:40]  nightbot: @tubbiekim -> "Eagles - I Can't Tell You Why (Official Video) [HD]" by Eagles has been added to the queue in position #3
[11:10:48]  moneymoneyloot: papes girl
[11:11:05]  badterence: Oooh
[11:11:14]  badterence: 🤭🤭
[11:11:35]  rolieland: remove cost is 50
[11:11:44]  moneymoneyloot: maybe oneday she'll let me scan her ID if you catch my drift 😏😏
[11:12:01]  bunhara: !sr ring my bell anita ward
[11:12:01]  nightbot: @Bunhara -> "Anita Ward - Ring My Bell" by MC: Mus1c Collection has been added to the queue in position #4
[11:12:03]  rolieland: potential remove at event
[11:12:12]  rolieland: its the fun play not the smart play
[11:12:49]  moneymoneyloot: fish after 2x normality dkShame
[11:12:51]  rolieland: prism for fun?
[11:12:51]  badterence: Daddy N
[11:12:52]  bunhara: remove the other normality here?
[11:13:34]  bunhara: why doesnt courier let you remove as many times as you wsnt dkShame
[11:13:56]  rolieland: XD
[11:14:11]  badterence: Bun my sweet, how did you get out again
[11:14:12]  rolieland: for sure
[11:14:19]  rolieland: any other curse
[11:14:37]  rolieland: oh true
[11:14:39]  tubbiekim: I can't go for that, no can do
[11:14:56]  badterence: Just imagine it’s a tactician
[11:15:30]  moneymoneyloot: !sr player baby come back
[11:15:31]  nightbot: @moneymoneyloot -> "Player - Baby Come Back" by LesterTheNightfly2 has been added to the queue in position #4
[11:15:42]  moneymoneyloot: !sr pina colada song
[11:15:42]  nightbot: @moneymoneyloot -> "10. Rupert Holmes - Escape (The Piña Colada Song)" by Joel Gustafsson has been added to the queue in position #5
[11:15:53]  badterence: Tune
[11:16:03]  paratekarty: :)
[11:16:14]  moneymoneyloot: !sr groovin rascals
[11:16:14]  nightbot: @moneymoneyloot -> "Groovin' - The Young Rascals" by Groovy60sJukebox has been added to the queue in position #6
[11:18:22]  bunhara: 0 9 meta
[11:18:24]  icycurves6_9: CurseLit DinoDance CurseLit DinoDance
[11:19:10]  icycurves6_9: normality need to go as it will rekt your combo
[11:20:41]  icycurves6_9: do you feel that the spiky enemies especially this fight is bullshit if there are more than 1
[11:21:32]  a_snail_chosen_at_random: ay+ny bearders
[11:21:36]  a_snail_chosen_at_random: any*
[11:21:49]  paratekarty: spikers are rude yeah
[11:22:19]  moneymoneyloot: repulsors are the most evil shape
[11:22:34]  moneymoneyloot: basically sentries but straight to the draw pile
[11:22:37]  paratekarty: repulsors are also very rude haha
[11:22:55]  paratekarty: god yeah don't mess with my draw pile!!
[11:23:17]  badterence: You can piss straight into my discard but if you so much as whisper into my draw pile
[11:23:24]  badterence: redbea13Bouldy
[11:23:26]  paratekarty: for real
[11:23:27]  moneymoneyloot: LUL
[11:23:55]  rolieland: @badterence XD
[11:24:33]  badterence: Get in there sadistic
[11:24:48]  badterence: @rolieland PridePenguin
[11:24:53]  icycurves6_9: man you got some good relics
[11:25:05]  paratekarty: gremlin horn is
[11:25:18]  paratekarty: pretty alright huh
[11:25:45]  badterence: Perfect fight utilisation
[11:25:54]  rolieland: it did
[11:26:02]  paratekarty: sadistic nature is so fun with silent
[11:26:06]  icycurves6_9: made me hard :)
[11:26:56]  icycurves6_9: I wonder how well will this do against the heart
[11:27:14]  badterence: Very well indeed
[11:28:04]  moneymoneyloot: Adge
[11:34:37]  rolieland: Lol I wanted to ask if you would remove the agony for free
[11:36:48]  rolieland: he dead
[11:38:37]  tubbiekim: !Sr down under men at work
[11:38:37]  nightbot: @tubbiekim -> "Men At Work - Down Under (Lyrics)" by 7clouds has been added to the queue in position #2
[11:39:28]  cheg0: IF YOU LIKE PINA COOLADAS
[11:39:56]  kurol__: cheg0bot
[11:40:16]  cheg0: he wants me to move?
[11:40:24]  kurol__: Move like the defect
[11:40:29]  cheg0: kur0bot online
[11:40:33]  kurol__: In cheg0 newest video
[11:43:32]  cheg0: anyone feeling chicken wings today?
[11:44:36]  kurol__: I had duck wings today : l
[11:44:47]  cheg0: 🦆
[11:44:47]  bunhara: im eating chicken wings right now
[11:45:02]  cheg0: holy ManChicken
[11:45:04]  moribund: moneyJAM
[11:45:08]  moribund: 🇦🇺
[11:45:19]  tubbiekim: 🇦🇺
[11:45:41]  kurol__: !sr all i have ever known bahamas
[11:45:42]  nightbot: @KuroL__ -> "All I've Ever Known" by Bahamas - Topic has been added to the queue in position #1
[11:45:47]  merl61: I think this is past act one
[11:46:07]  moribund: :O
[11:46:17]  kurol__: Wow
[11:46:18]  moribund: shopping spree
[11:46:49]  merl61: Gg
[11:46:50]  moribund: Beardy is The One
[11:46:54]  merl61: Kunai
[11:46:56]  moribund: he's beginning to believe
[11:47:04]  cheg0: literally hackermans
[11:47:40]  kurol__: Kunai with Ninja Scroll
[11:47:45]  cheg0: okay
[11:47:46]  cheg0: what the hell
[11:47:47]  merl61: LOL
[11:47:48]  cheg0: LUL
[11:48:00]  cheg0: he REALLY SEES THE CODE
[11:48:07]  tubbiekim: Bird relics
[11:48:14]  cheg0: real-time translating the binary code holy
[11:49:21]  cheg0: this guy just glugglugglug
[11:49:56]  cheg0: mang0
[11:51:58]  kurol__: cheg0
[11:54:43]  kurol__: !sr closetowhy parcels
[11:54:43]  nightbot: @KuroL__ -> "Parcels - Closetowhy (Live from Hansa Studios, Berlin)" by Parcels has been added to the queue in position #1
[11:56:12]  badterence: !sr https://www.youtube.com/watch?v=tPPwzDSbc6A
[11:56:12]  nightbot: @BadTerence -> "Herbie Hancock featuring Chaka Khan - The Essence" by Borko Jovčić has been added to the queue in position #3
[11:56:36]  kurol__: !sr redbone dont cry
[11:56:37]  nightbot: @KuroL__ -> "Redbone" by Dontcry - Topic has been added to the queue in position #4
[11:57:17]  badterence: abandon
[11:58:02]  a_snail_chosen_at_random: !sr in my mouth black dresses
[11:58:03]  nightbot: @a_snail_chosen_at_random -> "Black Dresses - IN MY MOUTH" by S T A R G A Z E has been added to the queue in position #5
[11:58:07]  rolieland: GG
[12:00:03]  a_snail_chosen_at_random: gg
[12:00:10]  ocaml_ocaml: gg
[12:00:18]  moribund: this is going to be a real squeaker
[12:01:14]  badterence: gg
[12:01:14]  moribund: gg!
[12:01:20]  tubbiekim: Gg
[12:01:33]  bunhara: game sucks
[12:01:53]  a_snail_chosen_at_random: bunhara sucks!
[12:01:54]  a_snail_chosen_at_random: sorry
[12:01:57]  a_snail_chosen_at_random: i didn't mean that
[12:02:19]  a_snail_chosen_at_random: bunhara owns
[12:02:40]  bunhara: whats the truth, snail
[12:02:49]  a_snail_chosen_at_random: bunhara owns is the truth
[12:02:50]  moribund: 🤖
[12:02:55]  rolieland: just started my own run with Prism start mod, boss swap into busted crow X'D
[12:03:22]  bunhara: lootbox
[12:03:41]  moribund: E8 Risk of Rain derust
[12:04:07]  moribund: prove it pchB
[12:04:16]  bunhara: prove it
[12:04:39]  moribund: I need to buy that stupid game
[12:04:45]  moribund: stupid Beardy and stupid Dane
[12:04:53]  moribund: making me spend my stupid money
[12:06:46]  moribund: play Neopets
[12:07:12]  moribund: yes
[12:07:20]  moribund: late 90s
[12:10:11]  moribund: protondb suggests it runs well
[12:11:29]  apneaa: moribund
[12:11:33]  moribund: Apneaa
[12:12:12]  apneaa: @moribund did you advanced in the dlc since last time?
[12:12:20]  moribund: yeah. I think I've technically finished it
[12:12:28]  apneaa: nice
[12:12:31]  a_snail_chosen_at_random: apneaa
[12:12:35]  a_snail_chosen_at_random: i am in europe
[12:12:37]  apneaa: @a_snail_chosen_at_random euro
[12:12:45]  a_snail_chosen_at_random: monkaS
[12:12:46]  apneaa: @a_snail_chosen_at_random how is the wheather
[12:12:50]  a_snail_chosen_at_random: it's good
[12:12:54]  moribund: I strongly suspect there is a true ending that involves beating the DLC and the base game
[12:12:57]  moribund: which I haven't done
[12:12:58]  a_snail_chosen_at_random: way less horrible than where i'm from
[12:13:11]  a_snail_chosen_at_random: it's not as hot or as humid
[12:13:21]  moribund: but I'm pretty confident I reached the end of the DLC
[12:13:28]  apneaa: @moribund byron hasn't done the main ending with soleanum but he know he can do it
[12:13:40]  apneaa: so when he will be done with the dlc we'll do a main ending again
[12:13:47]  moribund: makes sense
[12:14:10]  apneaa: @moribund how did you like the "ending" of the dlc
[12:14:32]  moribund: ending was good. Really great illustration and music
[12:14:58]  apneaa: nice thanks for sharing
[12:15:30]  apneaa: @a_snail_chosen_at_random how is the langage barrier monkaS
[12:15:48]  a_snail_chosen_at_random: everyone speaks english so far
[12:16:09]  a_snail_chosen_at_random: i took some nice pictures
[12:16:12]  apneaa: the nordics are fairly good at english
[12:16:13]  a_snail_chosen_at_random: (of myself)
[12:16:17]  a_snail_chosen_at_random: (and of the scenery)
[12:16:47]  apneaa: i think dutch and above they are really good at english from what i know of their tourists
[12:16:56]  apneaa: south france and spain/portugal
[12:17:01]  apneaa: not very good
[12:17:08]  apneaa: italia also not amazing at english
[12:17:10]  a_snail_chosen_at_random: it's been cool for the
[12:17:17]  a_snail_chosen_at_random: 6 hours i've been here
[12:17:28]  a_snail_chosen_at_random: i'm here for a conference and i got a hotel room with a friend
[12:17:45]  a_snail_chosen_at_random: the meta is to GAME
[12:17:56]  apneaa: the meta is to coop wit vms
[12:18:00]  a_snail_chosen_at_random: @apneaa luckily i've decided to learn italian
[12:18:00]  apneaa: NOBAYRS
[12:18:08]  a_snail_chosen_at_random: vm co-op actually busted
[12:18:24]  apneaa: @a_snail_chosen_at_random oh you wanna go to italy next?
[12:18:30]  a_snail_chosen_at_random: kinda
[12:18:38]  a_snail_chosen_at_random: i mostly just want to learn a language
[12:18:43]  a_snail_chosen_at_random: and italian is similar to latin
[12:18:46]  a_snail_chosen_at_random: which i already know some
[12:18:49]  apneaa: if you learn italian
[12:18:58]  apneaa: you will unlock spanish to a certain degree
[12:19:02]  a_snail_chosen_at_random: then i will know most of spanish yeah
[12:19:05]  apneaa: i say to peoples
[12:19:10]  apneaa: that wanna learn a latin langage
[12:19:12]  apneaa: dont learn french
[12:19:14]  a_snail_chosen_at_random: knowing latin is so broken
[12:19:14]  apneaa: learn spanish
[12:19:16]  apneaa: or italian
[12:19:21]  a_snail_chosen_at_random: french DIESOFCRINGE
[12:19:38]  apneaa: latin is so funny
[12:19:54]  a_snail_chosen_at_random: how so?
[12:20:01]  apneaa: it's so freaking hard to read but you can "kinda" do it, my friend had a comic
[12:20:04]  apneaa: it's a huge comic
[12:20:06]  apneaa: all in latin
[12:20:11]  apneaa: and i went through
[12:20:15]  a_snail_chosen_at_random: it is really easy to read
[12:20:18]  apneaa: it's really exhausting but you can read it
[12:20:25]  a_snail_chosen_at_random: even if you just know english you can often follow
[12:20:43]  apneaa: meanwhile italian spanish written is just easy mode
[12:20:45]  a_snail_chosen_at_random: if you know spanish then you're fine probably
[12:20:46]  apneaa: romanian too
[12:22:10]  apneaa: but yeah learning french isntead of italian/spanish is just making your life harder for zero reason
[12:22:34]  apneaa: were just omega weird
[12:22:39]  apneaa: so it end up being cooll
[12:23:19]  a_snail_chosen_at_random: after i learned some latin and read some italian by accident
[12:23:25]  apneaa: we share with vietnamese and a few other langage the biggest number of used vowels and consonnants
[12:23:31]  a_snail_chosen_at_random: i wondered if i could do that with spanish and french too
[12:23:35]  a_snail_chosen_at_random: spanish yes french uhhhhhhh
[12:23:40]  apneaa: @a_snail_chosen_at_random for spanish yes
[12:23:42]  apneaa: fro french too
[12:23:45]  apneaa: unless you read something
[12:23:47]  a_snail_chosen_at_random: not very easily
[12:23:47]  apneaa: with past tense
[12:23:51]  apneaa: or weird tenses
[12:23:58]  a_snail_chosen_at_random: italian i read without noticing it wasn't latin though
[12:24:11]  a_snail_chosen_at_random: i thought it was just latin spelled weird
[12:24:14]  a_snail_chosen_at_random: french was turbo monka
[12:24:29]  apneaa: french is latin through a germano celtic filter
[12:24:38]  apneaa: then brought under a latin filter again
[12:24:41]  a_snail_chosen_at_random: english pog
[12:24:55]  a_snail_chosen_at_random: fake romance languages
[12:25:05]  apneaa: english is our bastard baby
[12:25:34]  apneaa: english is just french but you take it further with the germanic influence
[12:25:54]  apneaa: the ONLY point of learning french
[12:25:57]  apneaa: is poetry
[12:26:01]  apneaa: there is ZERO other valid use
[12:26:05]  a_snail_chosen_at_random: cheese
[12:26:09]  a_snail_chosen_at_random: pogslide
[12:27:02]  kurol__: What if I want to learn French
[12:27:25]  a_snail_chosen_at_random: to troll?
[12:28:10]  kurol__: Well
[12:28:23]  apneaa: @KuroL__ i will come to vietnam and slap you
[12:28:23]  kurol__: Our language is kinda based on French to a certain degree
[12:28:39]  apneaa: the only asian langage that use latin alphabet
[12:28:41]  apneaa: Kreygasm
[12:28:52]  kurol__: Its probably not that close
[12:29:00]  kurol__: But might be easier than usual
[12:29:14]  kurol__: Owned by the French
[12:29:20]  apneaa: well i would assume because of the alphabet
[12:29:28]  apneaa: you would have the easiest time out of any asian country
[12:29:33]  apneaa: to learn any western langage
[12:29:52]  apneaa: and also since vietnam is very rich
[12:29:56]  apneaa: with consonnants and vowels
[12:30:42]  apneaa: meanwhile english man use the same letter for like
[12:30:48]  apneaa: 5 different sounds
[12:30:50]  kurol__: I dont have the French accents
[12:30:54]  apneaa: and they cant even make half of them
[12:30:54]  kurol__: The thick husky voice
[12:31:07]  kurol__: Like they smoke since they were 5
[12:31:12]  apneaa: @KuroL__ gotta talk with the throat
[12:31:15]  apneaa: not the tongue
[12:31:22]  apneaa: all in the back baby
[12:31:59]  apneaa: i'm trying to go all the way with russian
[12:32:04]  apneaa: because i have motivation for it now
[12:32:40]  apneaa: yeah i have reasons to learn it other than for fun now
[12:32:47]  apneaa: so it's been a good way to stay at it
[12:33:19]  apneaa: the biggest is that throat singing content is mostly written in russian even tho the langage in it is tuvan
[12:33:35]  apneaa: yeah
[12:33:37]  kurol__: Oh lmao
[12:33:39]  apneaa: tuvan is what they speak
[12:33:47]  apneaa: but they will write comments or descirption
[12:33:50]  apneaa: in russian often
[12:34:29]  apneaa: i wanted to just learn tuvan but tuvan doesn't not have a lot of ressource
[12:34:39]  apneaa: just a small turkik langage
[12:34:50]  apneaa: so i went with russian because i know they all understand it fairly ok
[12:38:31]  discbuddy155: !pronouns
[12:38:31]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[12:41:29]  moribund: looks like it's running well
[12:43:36]  moribund: who bought Hopoo? Was it Gearbox?
[12:47:34]  thederkus: !lurk
[12:55:21]  cervantes1988: they allways come in pair
[12:55:25]  cervantes1988: a master and an apprentice
[13:00:03]  moribund: gl on the runs. I'm off to do laundry
[13:14:42] thederkus redeemed Clean Shave Flex 5000
[13:15:56]  eggzu_: oooo been a while since i saw a beardy ror2 strim
[13:16:33]  eggzu_: i haven't played this game in a while x) very burned out
[13:18:05]  eggzu_: i began to find the game tedious because if you play the game decently it's really easy but it also takes 43 hours a run to do so
[13:21:20]  eggzu_: maybe i should get into spire but it's so hard x)
[13:21:29]  eggzu_: at least it seems it currently
[13:22:17]  eggzu_: how would you recommend getting into it?
[13:23:09]  thederkus: @EggZu_ I would. you don't have to play at max difficulty if ytou don't want to, so it's got something for all lvls
[13:23:23]  eggzu_: i didn't ascend once x)
[13:23:29]  eggzu_: i got to the final boss a few times maybe?
[13:24:15]  eggzu_: i guess i'll just look at a yt guide or something
[13:24:50]  eggzu_: but e8 easy B)
[13:25:22]  eggzu_: i got 40 hours in sts
