# Start logging at 2023-08-10 08:02:39 CDT
[08:02:39] disconnected
[08:02:39] Thursday, August 10, 2023
[08:02:39] Server connection timed out, reconnecting
[08:02:41] connected
# Start logging at 2023-08-10 08:16:17 CDT
[08:16:17] connected
[08:22:17] Redbeardy_McGee is live!
[08:29:54]  moribund: FeelsBeardMan
[08:43:13]  apneaa: money is the 7 max enjoyer
[08:43:26]  moneymoneyloot: i think baalor likes max too
[08:43:37]  moneymoneyloot: on aggro paths
[08:43:55]  shmooooz: I wanna be a homie as well
[08:44:14]  shmooooz: cruel man :D haha
[08:44:29]  shmooooz: tired but well :D
[08:44:30]  drdeathnite: what about take 0? 👀
[08:44:38]  enriqueque: Hello! It makes me happy you're streaming again...you did take some time off right?
[08:44:45]  drdeathnite: calculated, never not had it
[08:45:01]  tipereth6: I miss being a homie
[08:45:11]  shmooooz: but we  miss the beard cam
[08:45:14]  shmooooz: just saying :D
[08:45:28]  enriqueque: Would you like to hear an awful joke?
[08:45:29]  shmooooz: wow, tipereth got the homie status liek nothing ;D
[08:45:59]  enriqueque: The other night my wife and I went to dinner at this place that specializes in cooking meats that are typically discarded. We ordered the beef tongue and beef tripe. Unfortunately the dish only arrived with the meat on it, no veggies or starches or anything. It was just offal!
[08:46:26]  moribund: 🤔
[08:46:36]  shmooooz: first mistake: going out with your wife :D
[08:46:48]  its_goddy: first off, tripe is delicious
[08:46:50]  moneymoneyloot: hello dub
[08:47:00]  shmooooz: yeah, she regrets it daily
[08:47:19]  tipereth6: beef tongue can be amazing if prepped well, or stewed
[08:47:23]  drdeathnite: am i crazy for thinking hello world is not bad here?
[08:47:40]  moneymoneyloot: hello world v solid
[08:47:43]  moribund: Hello World is pretty rad in act 1
[08:47:45]  shmooooz: i think it was kind of an altruistic move when marrying me... like a good deed of the day project
[08:47:52]  skippygoober: https://www.theverge.com/2023/8/9/23826342/cnet-content-pruning-deleting-articles-google-seo
[08:48:03]  captainfalcum: lengua PogChamp
[08:48:04]  drdeathnite: like just needs some cards, and its good
[08:48:26]  skippygoober: deleting old articles written by humans and replacing them with Ai chat-gpt articles POGBOX
[08:48:54]  skippygoober: yee
[08:48:57]  skippygoober: Pogamid
[08:49:40]  captainfalcum: As you all know, I have been consistently streaming my gameplay for quite some time now, and I have always aimed to provide an accurate representation of my performance in the game. However, due to some unexpected circumstances, I have decided that my next "run" will not be included in my winrate sample.
[08:49:40]  moribund: CNET should have wrapped it up years ago
[08:49:43]  moneymoneyloot: nah im with you
[08:49:55]  moribund: relic from Web 1.0
[08:50:18]  shmooooz: i am all for ai doing the boring mental work... its a problem of how we distribute the wealth that is generated from that
[08:50:29]  skippygoober: we wont
[08:50:30]  moribund: yeah CNET used to be a reliable place for freeware if I remember correctly
[08:50:31]  skippygoober: kekw
[08:50:48]  captainfalcum: WALL-E
[08:50:54]  skippygoober: the wealth generated by it will go to the business owners who fired all the humans and replaced them with bots
[08:51:19]  shmooooz: but also i hear a lot of people talking that we could reach a real identiy crisis with AI... even if all people get universal income, it could still ruin their lives.. not doing anything
[08:51:26]  skippygoober: like beardy says, capitalism is the root cause of the issue
[08:51:29]  skippygoober: not the technology
[08:51:45]  moneymoneyloot: ive been not doing anything for years its awesome
[08:51:53]  captainfalcum: doing nothing can be hard for some
[08:51:55]  moneymoneyloot: can't be replaced
[08:52:06]  muirthemne: What are u doing step baldr?
[08:52:12]  captainfalcum: but yeah it's kinda pog too
[08:52:13]  moneymoneyloot: hell yeah
[08:52:24]  shmooooz: @moneymoneyloot lving of the sweet crypto money? D:
[08:52:28]  captainfalcum: everyone's moving in with mml
[08:52:34]  moneymoneyloot: something like that
[08:52:41]  tipereth6: in warm enough climates Yurts can be great
[08:52:54]  muirthemne: A yurtamid?
[08:53:03]  tipereth6: I live in WA state and living in Yurts are brutal for most of the year
[08:53:25]  captainfalcum: finding passion and fulfillment without work Kreygasm
[08:54:01]  shmooooz: I think a lot of people need a structure and something resembling work to fell fulfillment
[08:54:18]  muirthemne: Yayayas sy1vieAYAYAH
[08:54:24]  shmooooz: you sure?
[08:54:41]  shmooooz: most people I know that dont work hang around social media, netflix and are terrible
[08:54:45]  shmooooz: even if they are financially set
[08:55:34]  moneymoneyloot: what do u mean by terrible
[08:55:57]  skippygoober: money defending his people
[08:55:59]  skippygoober: LUL
[08:56:06]  shmooooz: they are not truly filling happy and like their lives... they are more existing than living
[08:56:08]  tipereth6: also, twitch chat is a form of 'social media' so welcome to the machine
[08:56:38]  shmooooz: I guess it depends a lot on the mental state of people
[08:56:43]  moneymoneyloot: is that your perspective or theirs
[08:57:03]  moneymoneyloot: and what is really the cause there
[08:57:21]  shmooooz: well, from people looking from the outside and some of them also say so... not all though
[08:57:28]  skippygoober: I work for a living and I dont feel like I have a fulfilling life
[08:58:15]  captainfalcum: moneym59JACKIE
[08:58:23]  skippygoober: https://en.wikipedia.org/wiki/Bullshit_Jobs
[08:58:26]  skippygoober: all work today
[08:58:26]  shmooooz: maybe its just they miss a structure to their lives?
[08:58:56]  shmooooz: I think quite a lot do actually
[08:58:57]  moneymoneyloot: it sounds like you need structure and are imposing that on others
[08:58:59]  captainfalcum: maybe all they've ever be3n constructed is "structure"
[08:59:00]  tipereth6: what do you consider structure Shmooooz?
[08:59:21]  tipereth6: the nomenclature I feel is defined very differently based on a lot of relative norms
[08:59:41]  enriqueque: People enjoy feeling validated in some way, completing tasks at a job and then getting paid for it, then awarding others with that money are multiple layers of validation
[08:59:49]  shmooooz: not saying everybody needs that... its just what I see from some people
[08:59:59]  muirthemne: DinoDance brioBounce DinoDance brioBounce DinoDance
[09:00:38]  skippygoober: but under capitalism all forms of validation are cash driven
[09:00:46]  skippygoober: C.R.E.A.M.
[09:01:02]  enriqueque: Did you know that magenta is a color that does not exist on the wavelength spectrum?
[09:01:28]  captainfalcum: purple Kreygasm
[09:01:35]  muirthemne: Purple is pog
[09:01:36]  shmooooz: I heard Sam Harris saying something along the line: everybody who works wants to go on holiday and do nothing... but when you give it to them, never ending holiday, they hate it and want to pay to get away from the holiday they previously paid to go to haha
[09:01:49]  moneymoneyloot: lol
[09:01:58]  bunhara: purple names WutFace
[09:02:04]  moneymoneyloot: sam harris is a smart guy who is extremely disconnected from what most people actually want
[09:02:16]  enriqueque: Magenta is basically "not green"
[09:02:34]  shmooooz: I am  not saying he is right... just somebody who had a similar feeling than i did for some people
[09:02:40]  enriqueque: There are dozens of us purple-named users! Dozens!
[09:03:11]  captainfalcum: moneym59JACKIE
[09:03:12]  shmooooz: yeah he goes to the extremes quite quickly haha
[09:03:25]  captainfalcum: doo doo
[09:03:35]  muirthemne: coxDantan
[09:04:12]  captainfalcum: and also people are generally not wealthy enough to do a lot if they happen to get free time
[09:04:45]  tipereth6: Cat Jam
[09:05:09]  captainfalcum: so they're "forced" to just sit around and watch Netflix or sleep all day for a month or two
[09:05:38]  captainfalcum: and not saying there's anything wrong with that bc some can do that forever and enjoy it
[09:05:43]  stupidketchup: howdy glgl
[09:06:04]  stupidketchup: sbw64Eep stupid143Love
[09:06:05]  captainfalcum: moneym59JAM moneym59JACKIE moneym59JAM moneym59JACKIE moneym59JAM moneym59JACKIE moneym59JAM moneym59JACKIE
[09:06:18]  muirthemne: Pikmin died for your sins
[09:06:43]  shmooooz: but i want everyone to be happy :D I just think for some people not having work as a fixed thing in their world will be hard to adapt to
[09:06:53]  shmooooz: for others it would be the greatest blessing and freedom
[09:07:20]  tipereth6: I am of the opinion, that Happiness and seeking it as an absolute is inherently a flawed set of values
[09:07:30]  stupidketchup: i love my job. i just wish it wasn't 40+ hours of my week LUL
[09:07:48]  nerdbusta1: !sr https://youtu.be/XM83V4BD1Bw
[09:07:48]  nightbot: @nerdbusta1 -> "Strasbourg / St. Denis" by Roy Hargrove - Topic has been added to the queue in position #1
[09:09:37]  enriqueque: nerdbusta, that song slaps so hard
[09:09:40]  tipereth6: self repair?
[09:09:52]  nerdbusta1: @enriqueque GayPride
[09:10:06]  drdeathnite: bellets
[09:10:21]  moribund: grab the pellets and run away really quickly
[09:10:35]  moribund: Merchant's leg muscles have surely atrophied by now. They can't catch you
[09:10:36]  nerdbusta1: I missed the reasoning why we went to the shop
[09:10:43]  nerdbusta1: To buy a potion for the elite
[09:10:44]  drdeathnite: i did that once in spelunky
[09:10:46]  captainfalcum: inciting violence
[09:10:53]  bunhara: pokemon mystery dungeon did that
[09:10:54]  moneymoneyloot: i wish i could shoot the merchant
[09:10:54]  drdeathnite: shopkeeper killed me in 3 microseconds
[09:10:58]  captainfalcum: the kids are looting bc of it
[09:11:01]  stupidketchup: i like it when you can rob the shopkeepers and they'll kick your butt
[09:11:03]  moribund: PETTHEMERCHANT
[09:11:14]  shmooooz: @moneymoneyloot at least with the mod you can attack him :D
[09:11:36]  tipereth6: Zelda Oracle of Seasons/Ages is the first game I know of that you can rob the shop keeper in
[09:11:37]  bunhara: its not as fun when you need a mod to do it
[09:11:50]  captainfalcum: !sr common guru jazz
[09:11:50]  nightbot: @CaptainFalcum -> "Guru  feat. Commom - State Of Clarity" by Radial by The Orchard has been added to the queue in position #1
[09:12:17]  moneymoneyloot: !sr can u hear it? key cool
[09:12:18]  nightbot: @moneymoneyloot -> "Key Kool & DJ Rhettmatic - Can U Hear It - 1995" by DaRkSoUL ChInO has been added to the queue in position #2
[09:12:26]  bunhara: huh??
[09:12:30]  moribund: @tipereth6 I think it's possible in Link's Awakening, though maybe as an exploit and not an intended mechanic? I can't remember.
[09:12:30]  bunhara: what!?
[09:13:09]  muirthemne: @bunhara more cat pics
[09:13:36]  moribund: my memory is a shovel can be stolen but that could be dead wrong
[09:13:40]  enriqueque: !sr https://www.youtube.com/watch?v=BlJuufKzvlY
[09:13:40]  nightbot: @Enriqueque -> "Andrew Combs - "Reptilia" [The Strokes Cover]" by New West Records has been added to the queue in position #3
[09:13:44]  shmooooz: man, we are currently updating all our company laptops to windows 11 and it somehow takes HOURS for the update to finish
[09:13:44]  tipereth6: perhaps I am confusing them around, I know its a GB game, which as a mechanic is so far ahead of its time
[09:14:09]  moribund: didn't use the static electricity strat dkShame
[09:14:49]  moribund: I fell off Zelda games hard because I despised Majora's Mask and Windwaker
[09:15:35]  drdeathnite: these picks has been great
[09:15:37]  drdeathnite: greatly meh
[09:16:22]  captainfalcum: moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM
[09:16:34]  moribund: not that I can remember
[09:16:47]  moribund: sailing is boring as hell
[09:17:07]  moribund: and there's a RIDICULOUS padded section near the end that requires like... at least 4000 rupees or something insane
[09:17:14]  enriqueque: When I first played Majora's Mask, I was pretty young and was only allowed to play video games in 30 minute increments. It takes about an hour to get to the point where you can actually save for the first time
[09:17:21]  moribund: yeah HD added a fast sail
[09:17:33]  moribund: and it made the Tingle quest less awful
[09:17:57]  shmooooz: when you learned the occarina songs :D was real great back then
[09:18:22]  enriqueque: You can't owl statue save until you're Link
[09:18:25]  moneymoneyloot: catJAM
[09:18:26]  drdeathnite: yeah, you have to do a tutorial dungeon before you get to town
[09:18:33]  drdeathnite: and it takes sometime
[09:18:34]  enriqueque: Gotta bop them feathery fucks with a sword
[09:18:50]  moribund: the padded quest in WW is having Tingle identify map pieces. it's about 400 rupees and there's at least 8 of them
[09:18:55]  enriqueque: You need to get the ocarina after the first full 3 day cycle
[09:19:03]  bunhara: catJAM
[09:19:14]  drdeathnite: catJAM
[09:19:19]  bunhara: !sr hummingbird metro boomin
[09:19:20]  nightbot: @Bunhara -> "Hummingbird" by Metro Boomin - Topic has been added to the queue in position #2
[09:19:43]  moribund: yeah. I forced myself to do it just so I could finish the game. I would have just quit and never looked back if I were sane
[09:19:49]  bunhara: !sr mona lisa dominic fike
[09:19:50]  nightbot: @Bunhara -> "Dominic Fike - Mona Lisa (Official Audio)" by Dominic Fike has been added to the queue in position #3
[09:20:22]  enriqueque: Of all the cards Defect can add, these are certainly three of them
[09:20:23]  moneymoneyloot: dw your potions will deal 16 damage to nob
[09:20:25]  moribund: yes
[09:20:28]  moribund: it is 100% required
[09:20:46]  moribund: there's some other quest line he has that is optional and involves the GBA or something.
[09:21:14]  tipereth6: its notorious for long JRPGS especially
[09:21:21]  moribund: people used to really demand that games take at least 30 hours to beat
[09:21:24]  tipereth6: that breakdown
[09:21:37]  moribund: that was a big thing for a while. An expectation that games are loaded with content to make them worht $60
[09:22:02]  tipereth6: Even Baldur's Gate 3 has that similar issue
[09:22:28]  moribund: no spoilies
[09:22:35]  moribund: did you play Divinity Original Sin
[09:22:37]  tipereth6: oh of course
[09:22:46]  tipereth6: Act 3 stands out as very distinct to the rest of Act 2 or 1
[09:23:06]  moribund: just play co-op :)
[09:23:11]  moribund: everything is better in co-op
[09:23:32]  enriqueque: You can also play as a barrelmancer, which is quite simple
[09:23:54]  drdeathnite: in divinity 2
[09:24:10]  drdeathnite: you could do that
[09:24:17]  tipereth6: If you tried hard enough you could be a Barrelmancer in BG3 lol
[09:24:18]  drdeathnite: or just stack a chest full of shit
[09:24:19]  enriqueque: Telekinesis has no weight limit, just a distance limit
[09:24:22]  drdeathnite: and bludgeon them with it
[09:24:37]  enriqueque: You can find several indestructible chests, then you just put EVERYTHING in them
[09:24:38]  drdeathnite: and damage is based on the weight of the chest, so you could scale it with how much shit you have
[09:25:02]  enriqueque: You just have to watch out for some enemies that have the ability to reflect damage back to you
[09:25:19]  moribund: I think the speedrun squishes things with barrels and chests a lot
[09:25:23]  moribund: or it did at some point, at least
[09:25:35]  drdeathnite: the engine allows you to stack stuff and climb over
[09:26:20]  drdeathnite: speedrunners know the route so they can do it fast, casually its just tedious or you do it when you run out of options
[09:27:00]  tipereth6: Nob is QUITE the problem right now
[09:27:26]  stupidketchup: good ol' Nob
[09:27:59]  moneymoneyloot: nob doesn't exist
[09:28:02]  moneymoneyloot: never heard of him
[09:28:08]  sparklecrotchthottie: red toliet paper mcgoo
[09:28:26]  moribund: TPOG
[09:28:26]  bunhara: !sr she's homeless la da dee
[09:28:27]  nightbot: @Bunhara -> "Crystal Waters - Gypsy Woman (She's Homeless) (Lyrics)" by Cassiopeia has been added to the queue in position #3
[09:28:45]  moneymoneyloot: !sr smell yo dick
[09:28:46]  nightbot: @moneymoneyloot -> "Riskay - Smell Yo Dick" by Best Shockers has been added to the queue in position #4
[09:28:52]  moneymoneyloot: Adge
[09:28:52]  moribund: WutFace
[09:29:24]  captainfalcum: Best Shockers
[09:29:29]  sparklecrotchthottie: just listen to 10 hr loop of mouthbass, dipshit
[09:29:31]  moneymoneyloot: https://7tv.app/emotes/61335162a1968527a66917c7
[09:29:41]  captainfalcum: ENDTURN
[09:29:43]  redbeardy_mcgee: are you tempted to subscribe by the torrential downpour of ads into your eyes
[09:29:59]  captainfalcum: yes
[09:30:01]  moneymoneyloot: https://7tv.app/emotes/61335162a1968527a66917c7
[09:30:24] Redbeardy_McGee added 7TV emote Adge.
[09:30:30]  moneymoneyloot: Adge
[09:31:20]  shmooooz: what das Adge mean? :D
[09:31:40]  moneymoneyloot: :D
[09:31:46]  drdeathnite: :D
[09:31:46]  shmooooz: I really dont know :D
[09:31:55]  moneymoneyloot: :D 󠀀
[09:32:12]  enriqueque: Essentially "I am seeing an advertisement and am sad"
[09:32:15]  redbeardy_mcgee: :)
[09:32:24]  shmooooz: aaahhh sadge for an ad
[09:32:26]  shmooooz: get it :D
[09:32:28]  enriqueque: It's one step from "sadge/madge"
[09:32:40]  enriqueque: Yeah, there ya go
[09:33:02]  moribund: Adge
[09:33:14]  tipereth6: I will glady watch ads for redbeardy, with capital-Virtue
[09:33:16]  tipereth6: adge
[09:33:27]  shmooooz: the algo that decides what ads you get must have broken somehow
[09:33:39]  shmooooz: i get real strange ads that dont fit my profile at all
[09:34:33]  moneymoneyloot: i got an ad for the army once that said "there are no load screens here" or something like that
[09:34:37]  icycurves6_9: never, my shorts are down
[09:34:39]  moneymoneyloot: what a fked up campaign LUL
[09:34:45]  moribund: wtf
[09:34:58]  shmooooz: i get ads for nipple pads lately... :D
[09:35:03]  moribund: there's no reviving either
[09:35:06]  moribund: checkmate, recruiters
[09:35:14]  icycurves6_9: I got ads for australia kangaroos
[09:35:23]  moneymoneyloot: shh don't tell them that
[09:35:23]  captainfalcum: y
[09:35:27]  moneymoneyloot: y
[09:35:30]  tipereth6: not Nob pog
[09:35:33]  moribund: yeah. Battlefield if it were made by people that just want to make a good game
[09:35:57]  shmooooz: pads that women use so you dont see their nipples when they have some thin clothes and it gets cold etc
[09:35:59]  sparklecrotchthottie: Y
[09:36:04]  shmooooz: now i know :D
[09:36:09]  captainfalcum: y
[09:36:10]  enriqueque: This is a weird looking Nob
[09:36:16]  moribund: why
[09:36:22]  moneymoneyloot: why
[09:37:07]  solmen: Is this a bg3 mod?
[09:37:08]  captainfalcum: y
[09:37:16]  moribund: 3 devs made Battlebit
[09:37:33]  solmen: Makes sense
[09:37:37]  stupidketchup: 2 guys in a basement you say? stupid143Pride
[09:38:33]  captainfalcum: y
[09:38:43]  sparklecrotchthottie: Y
[09:38:45]  nerdbusta1: @stupidketchup That pride defect emote is pog
[09:38:47]  moneymoneyloot: Y
[09:38:49]  nerdbusta1: SeemsGood
[09:38:59]  captainfalcum: !sr 2pac can't c me
[09:39:00]  nightbot: @CaptainFalcum -> "2Pac - Can't C Me" by Seven Hip-Hop has been added to the queue in position #4
[09:39:22]  stupidketchup: @nerdbusta1 thanks! i commissioned it, because the defect is my boyfriend's favorite
[09:39:40]  moneymoneyloot: catJAM
[09:39:51]  moneymoneyloot: ladadee ladadao
[09:40:09]  captainfalcum: !sr brockhampton stupid
[09:40:09]  nightbot: @CaptainFalcum -> "STUPID" by BROCKHAMPTON - Topic has been added to the queue in position #4
[09:40:27]  moneymoneyloot: !sr get retarded black eyed peas
[09:40:28]  captainfalcum: moneym59JACKIE
[09:40:28]  nightbot: @moneymoneyloot -> "Black Eyed Peas - Lets Get Retarded" by GangsterHits has been added to the queue in position #5
[09:40:36]  shmooooz: Cu later friends. Thanks for the discussion :D
[09:40:55]  captainfalcum: cya moo
[09:41:11]  captainfalcum: anyone enjoy cow farts
[09:41:53]  moneymoneyloot: look at hello world just ending these sentries careers
[09:42:23]  bunhara: frost is a pretty hard sentries counter
[09:42:44]  tubbiekim: !Sr say say say Paul McCartney
[09:42:44]  nightbot: @tubbiekim -> "Say Say Say by Paul McCartney and Michael Jackson" by Giraldi Media has been added to the queue in position #6
[09:42:47]  captainfalcum: hey bun. I hope you're having a great day
[09:42:58]  captainfalcum: 2020Gift
[09:42:59]  bunhara: fuck you, falcum 🖕
[09:43:08]  bunhara: let me smell yo duck
[09:43:16]  bunhara: 🦆
[09:43:19]  captainfalcum: ModLove
[09:43:37]  moneymoneyloot: moneym59JACKIE
[09:43:40]  bunhara: moneyJAM
[09:43:53]  nerdbusta1: Hello world seems like a bad card but it consistently performs whenever I pick it up
[09:43:54]  moribund: slowJAM
[09:44:01]  captainfalcum: lemme get a smol sniff
[09:44:06]  captainfalcum: just one pls
[09:44:11]  bunhara: well thats because hello world is a good card
[09:44:13]  captainfalcum: 👃
[09:44:14]  bunhara: hope this helps
[09:44:45]  nerdbusta1: @bunhara yeah I’m really starting to come around to hello world
[09:44:49]  moneymoneyloot: fuck this gang holy shit
[09:44:52]  nerdbusta1: I was a hater
[09:44:54]  its_goddy: look at it this way, your deck sucks ass.  so Hello World > Machine Learning
[09:45:02]  drdeathnite: the squad is relentless
[09:45:22]  bunhara: ENDTURN
[09:45:25]  its_goddy: skill check
[09:45:27]  drdeathnite: every week who i hate the most changes.
[09:45:34]  tipereth6: the wizz+ shield gremlin combo is always such a beast duo
[09:46:19]  its_goddy: this is the age old, choose between the sure-thing taking damage, or roll the dice to take much less :)
[09:46:31]  bunhara: why doesnt fat vuln you
[09:46:34]  bunhara: is it stupid
[09:46:56]  stupidketchup: @bunhara don't give them ideas LUL
[09:46:59]  its_goddy: you can invoke 3 lightnings, 2 need to hit
[09:47:21]  moneymoneyloot: EZ
[09:47:23]  its_goddy: OH SHIT
[09:47:31]  drdeathnite: never didn't have it
[09:47:34]  bunhara: bad player
[09:47:36]  stupidketchup: nice
[09:47:54]  drdeathnite: time to assassinate shield guy
[09:47:58]  enriqueque: EZ
[09:48:35]  bunhara: wow you're really committed to this cant kill nob bit huh
[09:48:43]  moneymoneyloot: LuL
[09:49:15]  moribund: that was the Nob fight
[09:49:21]  moribund: it went through mitosis and split into 4 gremlins
[09:49:22]  moneymoneyloot: TRUE
[09:50:18]  moneymoneyloot: nob is a myth created by big attack to prevent you from building a good deck
[09:50:30]  stupidketchup: @moneymoneyloot LUL
[09:50:47]  its_goddy: imagine how different this game would be if nob punished powers rather than skills
[09:50:52]  drdeathnite: nob only exists to make ironclad good
[09:50:56]  drdeathnite: its true trust me bro
[09:51:17]  moneymoneyloot: fibsh
[09:51:27]  dr0gulus: oh no, 500 gold : l
[09:51:41]  moneymoneyloot: d0rkulus
[09:51:47]  moneymoneyloot: such a dork he went infinite irl
[09:51:59]  dr0gulus: BatChest
[09:52:07]  bunhara: !sr my ol lady milton wright
[09:52:07]  nightbot: @Bunhara -> "My Ol' Lady" by Milton Wright - Topic has been added to the queue in position #4
[09:52:18]  captainfalcum: moneym59JAM
[09:52:25]  moribund: lagaJAM
[09:52:25]  moneymoneyloot: kinda fucked up of you to name your son Bat Chest, drog
[09:52:44]  bunhara: !sr loretta ginger root
[09:52:45]  nightbot: @Bunhara -> "Ginger Root - "Loretta" (Official Music Video)" by Ginger Root has been added to the queue in position #5
[09:52:47]  moneymoneyloot: moneym59JACKIE
[09:52:49]  captainfalcum: dr1g BatChest
[09:53:43]  stupidketchup: go for the knob
[09:53:43]  enriqueque: Gopher
[09:53:44]  bunhara: !sr samba de uma nota so carlos jobim
[09:53:45]  nightbot: @Bunhara -> "Samba De Uma Nota Só" by Antônio Carlos Jobim - Topic has been added to the queue in position #6
[09:54:38]  moneymoneyloot: bad neutralize owns
[09:55:02]  moribund: monkaNAVIGATE
[09:55:23]  dr0gulus: wait WHAT
[09:55:27]  bunhara: what the FRICK
[09:55:40]  moneymoneyloot: this furry green gremlin gang is pissed
[09:55:57]  captainfalcum: worm
[09:56:10]  bunhara: this is nice
[09:56:11]  captainfalcum: hweek
[09:56:13]  bunhara: this is soecial
[09:56:16]  moneymoneyloot: i watched that
[09:56:37]  bunhara: im so glad you guys are here, thank you so much. this is really special
[09:57:06]  captainfalcum: moneym59JACKIE
[09:57:07]  dr0gulus: putinWalkWIDE
[09:57:08]  stupidketchup: @bunhara stupid143Love
[09:57:08]  moneymoneyloot: bun is asking to be abused again dkShame
[09:57:09]  bunhara: self repair solves nob
[09:57:18]  moneymoneyloot: such a brat
[09:57:40]  tipereth6: is this the 4th barrage offered?
[09:57:43]  bunhara: @moneymoneyloot its part of my cant beat nob bit
[09:58:44]  moneymoneyloot: idk why your so worried about this "nob" I've never seen him in act 1
[09:58:46]  moneymoneyloot: ever
[09:58:49]  bunhara: dum and glum
[09:58:49]  stupidketchup: fairy in a bottle also helps with nob Kappa
[09:59:06]  moneymoneyloot: WTF?
[09:59:07]  moribund: NOBAYRS
[09:59:09]  bunhara: who the fuck is this guy
[09:59:13]  dr0gulus: glug?
[09:59:13]  moneymoneyloot: WHO IS THAT?
[09:59:15]  captainfalcum: it's satan
[09:59:16]  tipereth6: Red Laga
[09:59:21]  moribund: DLC enemy
[09:59:25]  enriqueque: Betrayed by the gopher
[09:59:33]  captainfalcum: is this a devil game
[09:59:34]  dr0gulus: six-pack satan
[09:59:49]  moribund: I thought this was a Christian family stream
[09:59:49]  tipereth6: He has an 8 pack though
[10:00:04]  bunhara: @tipereth6 not of beers
[10:00:11]  muirthemne: @dr0gulus BatChest
[10:00:29]  its_goddy: we are not dying
[10:00:33]  captainfalcum: moneym59JACKIE
[10:00:37]  bunhara: says you
[10:00:45]  captainfalcum: !sr pharcyde runnin
[10:00:45]  nightbot: @CaptainFalcum -> "The Pharcyde - Runnin'" by Fattypatty has been added to the queue in position #5
[10:01:03]  stupidketchup: yay
[10:01:05]  enriqueque: Nibbed the nob
[10:01:08]  captainfalcum: cum
[10:01:08]  drdeathnite: wow
[10:01:11]  drdeathnite: real cards
[10:01:13]  moneymoneyloot: cum
[10:01:15]  moneymoneyloot: relict
[10:01:25]  dr0gulus: song : l
[10:01:35]  enriqueque: !skip
[10:01:47]  muirthemne: brioBounce DinoDance brioBounce
[10:01:51]  enriqueque: !cringe
[10:01:59]  captainfalcum: :)
[10:02:01]  moneymoneyloot: PepeHands
[10:02:03]  tubbiekim: :)
