# Start logging at 2023-07-19 10:33:46 CDT
[10:33:46] disconnected
[10:33:46] Wednesday, July 19, 2023
[10:33:51] Message history service recovering, there may be gaps in the message history.
# Start logging at 2023-07-19 14:16:51 CDT
[14:16:51] connected
[15:52:21] Redbeardy_McGee is live!
[15:52:57]  captainfalcum: what the heck
[16:40:45]  apneaa: in the files
[16:41:04]  apneaa: speedrun wise, mira finally got their watcher WR
[16:41:16]  apneaa: baalor is nearing the end of a big challenge
[16:41:29]  apneaa: i just did
[16:41:36]  apneaa: i dont have anything else left
[16:41:58]  apneaa: mira first got clad yes
[16:42:04]  muirthemne: beardybeardybeardybeardybeardybeardy
[16:42:16]  apneaa: oh god that was funny
[16:42:21]  muirthemne: redbea13StickL redbea13Cultist redbea13StickR
[16:43:09]  muirthemne: 60fps chad action PogChamp
[16:43:15]  apneaa: i guess other big stuff is that the category died down for a while
[16:43:23]  apneaa: which is why i started going ham on the coach vods
[16:43:34]  muirthemne: moneyJAM
[16:43:35]  apneaa: there were days i was the only one of the "community" live
[16:43:48]  apneaa: money was gone, merl was gone, coach was gone, only xec remained
[16:44:10]  apneaa: papa was not there for a litttle while too
[16:44:26]  apneaa: i think everyone just needed a break from spire
[16:44:29]  apneaa: peoples did other games
[16:44:31]  muirthemne: amiss
[16:44:44]  apneaa: xecnar did slice and dice
[16:44:46]  apneaa: oh man
[16:44:51]  apneaa: slice had a lot of success
[16:45:21]  apneaa: pitor started a sample back then, he hadn't played in a long while
[16:45:39]  muirthemne: aboot
[16:46:05]  apneaa: and now since like
[16:46:08]  apneaa: two month
[16:46:11]  apneaa: everybody is back
[16:46:15]  apneaa: it's craaaazy
[16:46:33]  kurol__: People are tired of Slice and Dice
[16:46:43]  kurol__: Thats how it is I guess
[16:47:19]  apneaa: jorbs is a brotato main now
[16:47:23]  kurol__: Not really
[16:47:29]  apneaa: i havent seen jorbs on spire for a long while
[16:47:32]  kurol__: He is variety now
[16:47:43]  kurol__: Sometimes does play Spire
[16:47:52]  moribund: what is Spire
[16:47:52]  kurol__: But mostly brotato now
[16:48:05]  kurol__: And some other new games
[16:48:08]  apneaa: but yeah everybody and their mom is back since a few month
[16:48:14]  a_snail_chosen_at_random: yo
[16:48:17]  a_snail_chosen_at_random: you're back
[16:48:27]  a_snail_chosen_at_random: it's been centuries
[16:48:28]  apneaa: even snail gave us a stream
[16:48:32]  apneaa: she was shuffling cards
[16:48:37]  apneaa: for hours monkaS
[16:48:39]  a_snail_chosen_at_random: and i did a co-op with vm
[16:48:49]  a_snail_chosen_at_random: yeah i've streamed a few times
[16:48:57]  apneaa: oh VM
[16:48:59]  a_snail_chosen_at_random: i think i rember you chatting once
[16:49:03]  apneaa: beardy vm has sampled
[16:49:06]  apneaa: monkaS
[16:49:10]  apneaa: thrice monkaS
[16:49:16]  a_snail_chosen_at_random: @apneaa :)
[16:49:20]  apneaa: yeah
[16:49:29]  apneaa: then he went to do 50 silent 50 clad and 50 defect
[16:49:33]  apneaa: one after the other
[16:49:39]  cacastou: this music
[16:49:40]  a_snail_chosen_at_random: vm is a gamer
[16:49:41]  apneaa: vm became a slice adn dice streamer
[16:49:41]  cacastou: nostalgia
[16:49:47]  a_snail_chosen_at_random: more powerful than i will ever be
[16:49:49]  kurol__: I also play Slice
[16:50:00]  apneaa: no no
[16:50:05]  apneaa: after he was done with the 200
[16:50:08]  kurol__: Most of the Spire people coming to Slice is just at the top
[16:50:08]  apneaa: he slowed down a lot
[16:50:16]  kurol__: And then just dip
[16:50:18]  apneaa: he tried fairly hard on his individual 50's
[16:50:20]  apneaa: not mega long
[16:50:21]  a_snail_chosen_at_random: i never went to slicendice
[16:50:25]  apneaa: but much longer than before
[16:51:40]  apneaa: it works
[16:51:45]  a_snail_chosen_at_random: it's good
[16:51:48]  apneaa: vm has been slaving
[16:51:50]  apneaa: for it
[16:51:54]  apneaa: everytime it break down
[16:51:59]  apneaa: we get the whip out on vm
[16:52:02]  a_snail_chosen_at_random: vm is a hero
[16:52:12]  muirthemne: snail gefafaWow
[16:52:14]  a_snail_chosen_at_random: he is slaver
[16:52:16]  a_snail_chosen_at_random: we are taskmaster
[16:52:23]  a_snail_chosen_at_random: @muirthemne hello!
[16:52:35]  moribund: Noobzor, I think
[16:52:37]  phrogamid: bready TPOG
[16:52:50]  muirthemne: 🍞
[16:52:51]  phrogamid: ive joined just in time for a brimstone run i see
[16:53:06]  moribund: Doug Dimmadome
[16:53:16]  a_snail_chosen_at_random: owner of the dimmesdale dimmadome?
[16:53:20]  moribund: that's the guy
[16:53:21]  a_snail_chosen_at_random: or a different doug dimmadome
[16:53:24]  a_snail_chosen_at_random: wow
[16:53:27]  a_snail_chosen_at_random: celebrity
[16:53:38]  a_snail_chosen_at_random: you'll have 23 into the fire dw
[16:53:38]  apneaa: oh beardy
[16:53:58]  apneaa: navegreed got a 14 streak killed because it was his first time having me and papa in his chat
[16:53:59]  moribund: ad DansGame
[16:54:00]  a_snail_chosen_at_random: 0 damage dead adventurer inc
[16:54:15]  apneaa: https://www.twitch.tv/navegreed/clip/ScaryEnjoyableHornetHumbleLife-Xbw6jZuyrk-tOHKi
[16:54:18]  apneaa: we shitposted him
[16:54:19]  apneaa: to death
[16:55:11]  apneaa: i dont understand why you would get adds on this webstie
[16:55:12]  apneaa: monkaS
[16:55:14]  vmservice: Hello
[16:55:22]  apneaa: yo vm
[16:55:35]  a_snail_chosen_at_random: wym apneaa
[16:55:38]  vmservice: I am baking fish
[16:55:41]  apneaa: i'm still on window8.1
[16:55:42]  muirthemne: >imagine getting ads teakCool
[16:55:48]  apneaa: it just breaks everything
[16:55:53]  apneaa: perks of being outdated
[16:55:58]  apneaa: it just breaks everything
[16:56:01]  apneaa: i cannot use 7tv
[16:56:04]  apneaa: it break my twitch
[16:56:04]  muirthemne: sy1vieAYAYAH vm
[16:56:08]  vmservice: Install arch Linux
[16:56:08]  phrogamid: i got da turbo because pre-roll ads are the sadge
[16:56:14]  apneaa: @vmService did you kill mirtix?
[16:56:20]  vmservice: Pog
[16:56:22]  a_snail_chosen_at_random: vm why isn't linux on my computer yet
[16:56:24]  vmservice: Wait ads
[16:56:26]  vmservice: D:
[16:56:30]  a_snail_chosen_at_random: oh how hard is it to setup slay the relics
[16:56:33]  muirthemne: NOBAYRS
[16:56:35]  moribund: install TempleOS
[16:56:42]  apneaa: i will soon have to instal win11 like a good microsoft slave
[16:56:42]  a_snail_chosen_at_random: pogslide
[16:56:46]  a_snail_chosen_at_random: i might stream next week
[16:56:58]  apneaa: i love having my data harvested and my admin control taken away :)
[16:56:59]  a_snail_chosen_at_random: i am going to a wedding this weekend though so i can't
[16:57:02]  a_snail_chosen_at_random: yet
[16:57:23]  apneaa: i should do it
[16:57:29]  apneaa: i know i should
[16:57:32]  muirthemne: be a mac gamer like byron
[16:57:36]  vmservice: Install arch Linux
[16:57:38]  apneaa: my siblind is double booting
[16:57:40]  apneaa: since years
[16:57:43]  apneaa: they could show me
[16:57:57]  apneaa: i have no idea :D
[16:58:01]  apneaa: i dont know anything about linux
[16:58:06]  a_snail_chosen_at_random: how hard is it to linux
[16:58:11]  a_snail_chosen_at_random: idk anything about it either
[16:58:15]  vmservice: Beardy I use systemd boot
[16:58:48]  muirthemne: Bustin Bustin Bustin Bustin
[16:58:56]  apneaa: like the thing is that i just use my pc for twitch/paint.net/and emulatio essentially things that windows is perfectly sufficient for
[16:59:09]  apneaa: so i know i should dual boot
[16:59:10]  vmservice: Arch Linux now is like I update stuff once a week
[16:59:12]  apneaa: because fuck windows
[16:59:21]  apneaa: but also windows do the job
[16:59:21]  vmservice: Nothing really breaks
[16:59:22]  a_snail_chosen_at_random: i use my computer for twitch, spire, and LaTeX
[16:59:24]  apneaa: and i'm lazy
[16:59:52]  a_snail_chosen_at_random: what is vscode
[16:59:58]  a_snail_chosen_at_random: i use miktex
[17:00:04]  a_snail_chosen_at_random: i'm a lowly mathematician
[17:01:15]  a_snail_chosen_at_random: turns out i actually use texworks
[17:01:19]  a_snail_chosen_at_random: which is also linux compatible
[17:01:23]  a_snail_chosen_at_random: i used to use miktex
[17:01:33]  vmservice: I guess just install pop os
[17:01:34]  moribund: Linux doesn't have Clippy
[17:01:40]  vmservice: @moribund not true
[17:01:42]  muirthemne: dkShame
[17:01:48]  vmservice: cargo clippy
[17:01:49]  a_snail_chosen_at_random: i'm concerned i will break my computer trying to get linux on it
[17:02:07]  vmservice: @a_snail_chosen_at_random try in a vm first :)
[17:02:09]  muirthemne: microsoft shoulda named cortana, clippy
[17:02:26]  a_snail_chosen_at_random: wh
[17:02:32]  a_snail_chosen_at_random: how
[17:02:35]  moribund: can I get BonziBuddy on Linux
[17:02:42]  a_snail_chosen_at_random: i'm on a laptop
[17:02:58]  muirthemne: the xx TPOG
[17:03:16]  vmservice: Buy a steam deck and a dock
[17:03:22]  vmservice: Use it as your pc
[17:03:26]  a_snail_chosen_at_random: since i only do TeX spire and twitch i didn't have a reason to get anything powerful, so i have a midrange laptop from a few years ago
[17:04:05]  a_snail_chosen_at_random: i think i have friends who use linux i could ask them for help
[17:04:09]  a_snail_chosen_at_random: math people are nerds
[17:04:11]  a_snail_chosen_at_random: what os?
[17:04:13]  a_snail_chosen_at_random: popos?
[17:04:18]  vmservice: Back up your data if don’t already
[17:04:20]  redbeardy_mcgee: popos
[17:04:22]  moribund: Pop!_OS
[17:04:25]  vmservice: If the OS goes whatever
[17:04:29]  muirthemne: teakSnek
[17:04:53]  vmservice: Install nixos Kappa
[17:05:17]  a_snail_chosen_at_random: i have needed to do some fiddling to make windows stop doing stuff i didn't want
[17:05:25]  apneaa: I'd just like to interject for a moment. What you're refering to as Linux, is in fact, GNU/Linux, or as I've recently taken to calling it, GNU plus Linux. Linux is not an operating system unto itself, but rather another free component of a fully functioning GNU system made useful by the GNU corelibs, shell utilities and vital system components comprising a full OS as defined by POSIX.
[17:05:28]  a_snail_chosen_at_random: i do hate windows it's just convenient since it came on the laptop
[17:05:34]  vmservice: @a_snail_chosen_at_random  coop stream but it’s you installing Linux
[17:05:35]  vmservice: :)
[17:05:39]  a_snail_chosen_at_random: sure
[17:05:46]  vmservice: Holy
[17:05:55]  apneaa: one thing i hate about going to 11
[17:06:03]  apneaa: is that i wont be able to play diablo2 anymore
[17:06:08]  apneaa: i want to clear diablo2
[17:06:09]  a_snail_chosen_at_random: i will join discord call from phone, vm will stream
[17:06:18]  vmservice: Pog
[17:06:20]  a_snail_chosen_at_random: i'll have to cover everything with black sheets so i don't dox myself
[17:06:23]  apneaa: diablo2 is retro compatible on win 8
[17:06:26]  apneaa: but not after
[17:06:39]  vmservice: Any old game probably runs on Linux
[17:06:41]  moribund: I played D2 on 10 without any issues
[17:06:43]  apneaa: oh no no i'm talking about like
[17:06:45]  apneaa: OLD ASS DIABLO2
[17:06:51]  apneaa: LUL
[17:06:56]  vmservice: Actually any game just runs on Linux
[17:06:57]  apneaa: i had to fiddle
[17:06:59]  apneaa: a lot
[17:07:02]  apneaa: to get it running
[17:07:11]  apneaa: i highly doubt that win11 is still able to run it
[17:07:40]  muirthemne: teakCool
[17:07:43]  moribund: it works on 10. I suspect it would work on 11, too
[17:08:05]  apneaa: @moribund the old launcher one?
[17:08:12]  apneaa: like not the normal online one
[17:08:13]  a_snail_chosen_at_random: oh i just don't own a flash drive
[17:08:15]  moribund: yes
[17:08:17]  apneaa: i'm talking about extracted exe
[17:08:43]  apneaa: i mean i will probably clear it before
[17:08:47]  apneaa: windows force me to update
[17:08:56]  a_snail_chosen_at_random: i have had flash drives
[17:08:58]  apneaa: i have like 120 days before they force the move
[17:09:03]  a_snail_chosen_at_random: but i try to avoid doing work on computers when i can
[17:09:07]  muirthemne: monkaS
[17:09:12]  moribund: there's always Project Diablo 2 as well
[17:09:17]  vmservice: I just get random flash drives given to me
[17:09:22]  a_snail_chosen_at_random: so what little stuff i need to access is in a dropbox folder or on paper
[17:09:24]  vmservice: Totally safe Kappa
[17:09:41]  a_snail_chosen_at_random: i used to
[17:09:55]  a_snail_chosen_at_random: when i was a nerdy kid and all the adults in my life thought math and computers are the same thing
[17:09:56]  muirthemne: i got a 128 gb flash drive for 15 bucks teakCool
[17:10:02]  a_snail_chosen_at_random: they gave me a bunch of computer related stuff
[17:10:25]  a_snail_chosen_at_random: !focus
[17:10:25]  apneaa: @moribund how is this legal monkaS
[17:10:30]  muirthemne: you where buying brimstone
[17:10:33]  moribund: ¯\_(ツ)_/¯
[17:10:36]  apneaa: do blizzard just allow the project to exist?
[17:10:43]  apneaa: like online and all
[17:10:45]  a_snail_chosen_at_random: shield of the gods!?!?!?
[17:10:48]  apneaa: seem very unlike blizzard
[17:11:14]  a_snail_chosen_at_random: doesn't brimstone just die to guardian
[17:11:35]  moribund: PD2 might only work if you have a legitimate copy of the game
[17:11:39]  apneaa: but it's a mod
[17:11:40]  apneaa: yes
[17:11:43]  apneaa: it's legit copy
[17:11:48]  apneaa: @moribund thats what i imagined
[17:12:02]  apneaa: i dont have a one i just got a random file off from bumfuck nowhere
[17:12:37]  vmservice: You have a shockwave
[17:12:43]  vmservice: There’s no reason to buy brim
[17:12:55]  a_snail_chosen_at_random: brim kills you instantly
[17:13:05]  pitor4k: Who dis
[17:13:11]  pitor4k: Brimstone Kreygasm
[17:13:13]  vmservice: Pitor install Linux
[17:13:23]  pitor4k: Linux on my phone monka
[17:13:39]  a_snail_chosen_at_random: i would like to be on linux but i'm lazy and haven't actually done it yet
[17:13:56]  moribund: what about anticheat games
[17:14:06]  vmservice: Apex works :)
[17:14:11]  muirthemne: microsofts hold of excel is the bs
[17:14:22]  vmservice: Cheg0 plays apex
[17:15:08]  vmservice: Dota is native
[17:16:09]  vmservice: Just buy horn and move on
[17:16:11]  vmservice: :)
[17:16:41]  vmservice: Or just remove or something
[17:16:47]  vmservice: Brim kinda suck
[17:18:06]  vmservice: I think ironclad is op enough to not need brimstone
[17:21:07]  vmservice: Soon
[17:22:30]  a_snail_chosen_at_random: soon
[17:23:02]  muirthemne: sooN
[17:23:14]  moribund: SOON™
[17:24:00]  bunhara: !sr tlc scrubs
[17:24:01]  nightbot: @Bunhara -> "TLC - No Scrubs (Lyrics)" by 7clouds has been added to the queue in position #4
[17:24:27]  moribund: Disarm
[17:24:28]  bunhara: !sr can you feel my heart
[17:24:28]  nightbot: @Bunhara -> "Bring Me The Horizon - Can You Feel My Heart" by Metalfanaus has been added to the queue in position #5
[17:24:51]  bunhara: !sr discord living tombstone
[17:24:52]  nightbot: @Bunhara -> "Discord" by The Living Tombstone - Topic has been added to the queue in position #5
[17:26:06]  zyzzyvivification: Woah!
[17:26:10]  zyzzyvivification: New phone, who is this?
[17:26:32]  zyzzyvivification: PridePog
[17:26:45]  bunhara: zee-zzee vivi-fic-ation
[17:26:55]  zyzzyvivification: I'm doing great!
[17:27:11]  a_snail_chosen_at_random: vivisection
[17:27:21]  muirthemne: teakLove zyzz
[17:27:32]  muirthemne: slimeD bun
[17:27:45]  zyzzyvivification: Hello!
[17:28:56]  muirthemne: modCheck scrubcheck
